task_name,rule,rule_family,difficulty,shift_type,schema_success,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,final_score,pred_pre_json,pred_post_json,pred_pre_probe_json,pred_post_probe_json,support_pool_json,queries_json,probes_json,post_support_pool_json,post_queries_json,post_probes_json,metadata_json,error_type,error_message
symbolic_binding_string,iteration_duplicate,iteration,medium,full_rule_remap,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""nefsi lode""], ""2"": [""nefsi lode nefsi lode""], ""3"": [""nefsi lode nefsi lode""], ""4"": [""nefsi lode nefsi lode""], ""5"": [""nefsi lode nefsi lode""]}","{""1"": [""fide nefsi""], ""2"": [""fide lode""], ""3"": [""fide nefsi lode""], ""4"": [""fide nefsi""], ""5"": [""fide nefsi""]}","[""fide fide""]","[""lode""]","[{""inp"": ""sash nefsi lode"", ""out"": ""sash nefsi lode sash nefsi lode""}, {""inp"": ""lode nefsi fide"", ""out"": ""lode nefsi fide lode nefsi fide""}, {""inp"": ""lode fide lode lode"", ""out"": ""lode fide lode lode lode fide lode lode""}, {""inp"": ""sash lode fide nefsi"", ""out"": ""sash lode fide nefsi sash lode fide nefsi""}, {""inp"": ""nefsi nefsi nefsi lode"", ""out"": ""nefsi nefsi nefsi lode nefsi nefsi nefsi lode""}]","[{""inp"": ""nefsi lode nefsi lode"", ""out"": ""nefsi lode nefsi lode nefsi lode nefsi lode""}]","[{""inp"": ""fide fide"", ""out"": ""fide fide fide fide""}]","[{""inp"": ""nefsi sash sash sash"", ""out"": ""sash sash""}, {""inp"": ""nefsi fide nefsi lode"", ""out"": ""fide lode""}, {""inp"": ""fide nefsi sash"", ""out"": ""nefsi""}, {""inp"": ""sash nefsi lode fide"", ""out"": ""nefsi fide""}, {""inp"": ""nefsi nefsi nefsi"", ""out"": ""nefsi""}]","[{""inp"": ""nefsi fide nefsi"", ""out"": ""fide""}]","[{""inp"": ""lode nefsi"", ""out"": ""nefsi""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""partitioning"", ""permutation"", ""iteration""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""partitioning_by_offset_offset_1"", ""shifted_template_family"": ""partitioning"", ""shifted_template_params"": {""offset"": 1}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,partitioning_by_offset_offset_1,partitioning,hard,full_rule_remap,True,0.5,0.375,0.375,1.0,0.0,0.5,0.375,0.0,1.0,0.0,1.0,0.6125,"{""1"": [""chinva""], ""2"": [""nap""], ""3"": [""nap""], ""4"": [""chinva""], ""5"": [""chinva""]}","{""1"": [""nap""], ""2"": [""nap shagchi shagchi""], ""3"": [""nap shagchi nap""], ""4"": [""chinva nap shagchi shagchi""], ""5"": [""chinva nap shagchi shagchi""]}","[""chisi""]","[""shagchi chisi chinva nap kizcho kizcho""]","[{""inp"": ""chinva shagchi kizcho"", ""out"": ""shagchi""}, {""inp"": ""chinva nap"", ""out"": ""nap""}, {""inp"": ""chinva nap kizcho"", ""out"": ""nap""}, {""inp"": ""chisi chinva kizcho"", ""out"": ""chinva""}, {""inp"": ""nap kizcho shagchi"", ""out"": ""kizcho""}]","[{""inp"": ""shagchi chinva"", ""out"": ""chinva""}]","[{""inp"": ""kizcho chinva shagchi chisi nap"", ""out"": ""chinva chisi""}]","[{""inp"": ""shagchi nap chinva"", ""out"": ""shagchi nap chinva chinva""}, {""inp"": ""nap shagchi"", ""out"": ""nap shagchi shagchi""}, {""inp"": ""shagchi chinva chisi"", ""out"": ""shagchi chinva chisi chisi""}, {""inp"": ""chisi chinva nap"", ""out"": ""chisi chinva nap nap""}, {""inp"": ""nap chinva"", ""out"": ""nap chinva chinva""}]","[{""inp"": ""chinva nap shagchi"", ""out"": ""chinva nap shagchi shagchi""}]","[{""inp"": ""shagchi chisi chinva nap kizcho"", ""out"": ""shagchi chisi chinva nap kizcho kizcho""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""iteration"", ""extension"", ""permutation"", ""reindexing""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,iteration_duplicate,iteration,easy,full_rule_remap,True,0.875,0.0,0.0,0.0,0.0,0.875,0.0,1.0,0.0,1.0,0.0,0.35000000000000003,"{""1"": [""tim mag mesho tim mag mesho""], ""2"": [""tim mag mesho mesho tim mag mesho mesho""], ""3"": [""tim mag mesho mesho tim mag mesho mesho""], ""4"": [""tim mag mesho mesho tim mag mesho mesho""], ""5"": [""tim mag mesho mesho tim mag mesho mesho""]}","{""1"": [""mag mesho mesho mag mag mesho mag mesho mag""], ""2"": [""mag mesho mesho mag mag mesho mesho mag""], ""3"": [""mag mesho mesho mag mag mag mesho mesho mag""], ""4"": [""mag mesho mesho mag mag mag mesho mesho mag""], ""5"": [""mag mesho mesho mag mag mag mesho mesho mag""]}","[""mag mesho mesho tim mag mag mag mesho mesho tim mag mag""]","[""tim mesho mag mesho mesho tim tim mesho mag mesho mesho""]","[{""inp"": ""mag mag tim mesho"", ""out"": ""mag mag tim mesho mag mag tim mesho""}, {""inp"": ""mesho mesho tim tim"", ""out"": ""mesho mesho tim tim mesho mesho tim tim""}, {""inp"": ""mesho mag mag mag"", ""out"": ""mesho mag mag mag mesho mag mag mag""}, {""inp"": ""tim mesho tim mesho"", ""out"": ""tim mesho tim mesho tim mesho tim mesho""}, {""inp"": ""mag mag mag mesho mag"", ""out"": ""mag mag mag mesho mag mag mag mag mesho mag""}]","[{""inp"": ""tim mag mesho mesho"", ""out"": ""tim mag mesho mesho tim mag mesho mesho""}]","[{""inp"": ""mag mesho mesho tim mag mag"", ""out"": ""mag mesho mesho tim mag mag mag mesho mesho tim mag mag""}]","[{""inp"": ""mag mesho mag mesho mag"", ""out"": ""mag mesho mag mesho mag mag""}, {""inp"": ""mesho tim mesho tim"", ""out"": ""mesho tim mesho tim tim""}, {""inp"": ""mesho mesho tim mag mag"", ""out"": ""mesho mesho tim mag mag mag""}, {""inp"": ""mesho mesho tim tim"", ""out"": ""mesho mesho tim tim tim""}, {""inp"": ""tim mesho tim mesho"", ""out"": ""tim mesho tim mesho mesho""}]","[{""inp"": ""mag mesho mesho mag"", ""out"": ""mag mesho mesho mag mag""}]","[{""inp"": ""tim mesho mag mesho mesho tim"", ""out"": ""tim mesho mag mesho mesho tim tim""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""iteration""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,partitioning_by_offset_offset_1,partitioning,medium,full_rule_remap,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""chosi sir""], ""2"": [""chosi sir shid sir""], ""3"": [""sir""], ""4"": [""sir""], ""5"": [""sir""]}","{""1"": [""sir nasno shid chosi""], ""2"": [""sir nasno shid chosi""], ""3"": [""sir nasno shid chosi""], ""4"": [""sir nasno shid chosi""], ""5"": [""sir nasno shid chosi""]}","[""sir""]","[""sir shid""]","[{""inp"": ""nasno nasno shid chosi"", ""out"": ""nasno chosi""}, {""inp"": ""nasno chosi sir"", ""out"": ""chosi""}, {""inp"": ""shid sir chosi"", ""out"": ""sir""}, {""inp"": ""chosi sir shid"", ""out"": ""sir""}, {""inp"": ""nasno nasno sir sir"", ""out"": ""nasno sir""}]","[{""inp"": ""chosi sir shid sir"", ""out"": ""sir sir""}]","[{""inp"": ""shid shid"", ""out"": ""shid""}]","[{""inp"": ""nasno sir nasno"", ""out"": ""nasno sir nasno nasno sir nasno""}, {""inp"": ""sir chosi sir nasno"", ""out"": ""sir chosi sir nasno sir chosi sir nasno""}, {""inp"": ""chosi nasno sir nasno"", ""out"": ""chosi nasno sir nasno chosi nasno sir nasno""}, {""inp"": ""nasno chosi nasno"", ""out"": ""nasno chosi nasno nasno chosi nasno""}, {""inp"": ""shid sir nasno shid"", ""out"": ""shid sir nasno shid shid sir nasno shid""}]","[{""inp"": ""sir nasno shid chosi"", ""out"": ""sir nasno shid chosi sir nasno shid chosi""}]","[{""inp"": ""sir shid"", ""out"": ""sir shid sir shid""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""partitioning"", ""iteration"", ""permutation""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_first,extension,hard,full_rule_remap,True,0.0,0.375,0.375,1.0,0.0,0.0,0.375,0.0,1.0,0.0,1.0,0.4125,"{""1"": [""zela shov gezi""], ""2"": [""zela shov gezi zela shov gezi""], ""3"": [""zela shov gezi zela shov gezi""], ""4"": [""zela shov gezi zela shov gezi""], ""5"": [""zela shov gezi zela shov gezi shov zela chon""]}","{""1"": [""chifte zela chon""], ""2"": [""chifte zela""], ""3"": [""zela chifte""], ""4"": [""zela chifte chon""], ""5"": [""zela chifte chon""]}","[""shov gezi zela chon shov gezi zela chon""]","[""zela chifte shov gezi""]","[{""inp"": ""chifte zela"", ""out"": ""chifte zela chifte""}, {""inp"": ""chon zela chifte"", ""out"": ""chon zela chifte chon""}, {""inp"": ""chon shov chifte"", ""out"": ""chon shov chifte chon""}, {""inp"": ""zela chon gezi"", ""out"": ""zela chon gezi zela""}, {""inp"": ""shov zela chon"", ""out"": ""shov zela chon shov""}]","[{""inp"": ""zela shov gezi"", ""out"": ""zela shov gezi zela""}]","[{""inp"": ""shov gezi zela chon"", ""out"": ""shov gezi zela chon shov""}]","[{""inp"": ""zela chifte chon"", ""out"": ""chon chifte zela""}, {""inp"": ""zela chifte shov"", ""out"": ""shov chifte zela""}, {""inp"": ""shov zela"", ""out"": ""zela shov""}, {""inp"": ""chon shov chifte"", ""out"": ""chifte shov chon""}, {""inp"": ""gezi chifte shov"", ""out"": ""shov chifte gezi""}]","[{""inp"": ""chon chifte zela"", ""out"": ""zela chifte chon""}]","[{""inp"": ""gezi shov chifte zela"", ""out"": ""zela chifte shov gezi""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""reindexing"", ""permutation"", ""iteration"", ""extension""], ""template"": ""extension_append_boundary_side_first"", ""template_family"": ""extension"", ""template_params"": {""side"": ""first""}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,iteration_duplicate,iteration,hard,full_rule_remap,True,0.125,0.25,0.25,0.0,0.0,0.125,0.25,1.0,0.0,1.0,0.0,0.125,"{""1"": [""zemku chus soku""], ""2"": [""zemku chus soku""], ""3"": [""zemku chus""], ""4"": [""zemku chus soku kego chus""], ""5"": [""zemku chus zemku chus""]}","{""1"": [""dochne chus soku dochne""], ""2"": [""dochne chus soku""], ""3"": [""dochne chus soku dochne chus""], ""4"": [""dochne chus dochne""], ""5"": [""dochne chus dochne chus""]}","[""zemku chus soku dochne zemku chus soku dochne""]","[""soku chus kego dochne soku chus kego""]","[{""inp"": ""dochne chus soku"", ""out"": ""dochne chus soku dochne chus soku""}, {""inp"": ""soku chus"", ""out"": ""soku chus soku chus""}, {""inp"": ""chus dochne kego"", ""out"": ""chus dochne kego chus dochne kego""}, {""inp"": ""soku kego chus"", ""out"": ""soku kego chus soku kego chus""}, {""inp"": ""chus kego zemku"", ""out"": ""chus kego zemku chus kego zemku""}]","[{""inp"": ""zemku chus"", ""out"": ""zemku chus zemku chus""}]","[{""inp"": ""zemku chus soku dochne"", ""out"": ""zemku chus soku dochne zemku chus soku dochne""}]","[{""inp"": ""soku dochne zemku"", ""out"": ""soku dochne zemku soku""}, {""inp"": ""zemku chus soku"", ""out"": ""zemku chus soku zemku""}, {""inp"": ""dochne soku zemku"", ""out"": ""dochne soku zemku dochne""}, {""inp"": ""kego dochne chus"", ""out"": ""kego dochne chus kego""}, {""inp"": ""chus soku"", ""out"": ""chus soku chus""}]","[{""inp"": ""dochne chus"", ""out"": ""dochne chus dochne""}]","[{""inp"": ""soku chus kego dochne"", ""out"": ""soku chus kego dochne soku""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""permutation"", ""partitioning"", ""reindexing"", ""extension"", ""iteration""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""extension_append_boundary_side_first"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""first""}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_first,extension,easy,full_rule_remap,True,0.875,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,"{""1"": [""femta mume sile femta mume""], ""2"": [""femta mume sile mume mume femta""], ""3"": [""femta mume sile mume mume femta""], ""4"": [""femta mume sile mume mume femta""], ""5"": [""femta mume sile mume mume femta""]}","{""1"": [""mume femta femta femta mume""], ""2"": [""mume femta femta femta""], ""3"": [""mume femta femta femta""], ""4"": [""mume femta femta femta""], ""5"": [""mume femta femta femta""]}","[""mume mume sile femta sile femta mume""]","[""mume femta femta femta femta femta""]","[{""inp"": ""sile mume sile femta mume"", ""out"": ""sile mume sile femta mume sile""}, {""inp"": ""sile sile mume femta mume"", ""out"": ""sile sile mume femta mume sile""}, {""inp"": ""sile femta femta sile"", ""out"": ""sile femta femta sile sile""}, {""inp"": ""sile mume sile femta"", ""out"": ""sile mume sile femta sile""}, {""inp"": ""femta femta sile mume"", ""out"": ""femta femta sile mume femta""}]","[{""inp"": ""femta mume sile mume mume"", ""out"": ""femta mume sile mume mume femta""}]","[{""inp"": ""mume mume sile sile femta sile femta"", ""out"": ""mume mume sile sile femta sile femta mume""}]","[{""inp"": ""mume femta mume femta femta"", ""out"": ""femta femta mume femta mume""}, {""inp"": ""sile mume sile femta mume"", ""out"": ""mume femta sile mume sile""}, {""inp"": ""sile sile mume sile mume"", ""out"": ""mume sile mume sile sile""}, {""inp"": ""femta sile femta mume"", ""out"": ""mume femta sile femta""}, {""inp"": ""mume mume sile mume"", ""out"": ""mume sile mume mume""}]","[{""inp"": ""sile mume mume femta"", ""out"": ""femta mume mume sile""}]","[{""inp"": ""femta mume femta femta femta femta femta"", ""out"": ""femta femta femta femta femta mume femta""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""permutation""], ""template"": ""extension_append_boundary_side_first"", ""template_family"": ""extension"", ""template_params"": {""side"": ""first""}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,iteration_duplicate,iteration,hard,full_rule_remap,True,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.05,"{""1"": [""shupa lopgu shupa lopgu""], ""2"": [""shupa lopgu shupa lopgu shupa lopgu""], ""3"": [""shupa lopgu shupa lopgu shupa lopgu""], ""4"": [""shupa lopgu shupa lopgu shupa lopgu""], ""5"": [""shupa lopgu shupa lopgu shupa lopgu""]}","{""1"": [""mobo lopgu kusko mobo""], ""2"": [""mobo kusko lopgu""], ""3"": [""mobo kusko lopgu mobo lopgu kusko mobo""], ""4"": [""mobo kusko lopgu mobo kusko lopgu""], ""5"": [""mobo kusko lopgu""]}","[""shupa kusko mobo lopgu ralo shupa kusko mobo lopgu ralo shupa kusko mobo lopgu ralo shupa kusko mobo lopgu ralo""]","[""lopgu kusko mobo ralo shupa lopgu kusko mobo ralo shupa lopgu kusko mobo ralo shupa""]","[{""inp"": ""kusko mobo"", ""out"": ""kusko mobo kusko mobo""}, {""inp"": ""ralo kusko"", ""out"": ""ralo kusko ralo kusko""}, {""inp"": ""lopgu kusko"", ""out"": ""lopgu kusko lopgu kusko""}, {""inp"": ""lopgu kusko ralo"", ""out"": ""lopgu kusko ralo lopgu kusko ralo""}, {""inp"": ""lopgu ralo"", ""out"": ""lopgu ralo lopgu ralo""}]","[{""inp"": ""shupa lopgu"", ""out"": ""shupa lopgu shupa lopgu""}]","[{""inp"": ""shupa kusko mobo lopgu ralo"", ""out"": ""shupa kusko mobo lopgu ralo shupa kusko mobo lopgu ralo""}]","[{""inp"": ""kusko lopgu mobo"", ""out"": ""mobo lopgu kusko""}, {""inp"": ""ralo shupa"", ""out"": ""shupa ralo""}, {""inp"": ""lopgu shupa"", ""out"": ""shupa lopgu""}, {""inp"": ""mobo lopgu"", ""out"": ""lopgu mobo""}, {""inp"": ""shupa ralo kusko"", ""out"": ""kusko ralo shupa""}]","[{""inp"": ""lopgu kusko"", ""out"": ""kusko lopgu""}]","[{""inp"": ""ralo mobo kusko shupa lopgu"", ""out"": ""lopgu shupa kusko mobo ralo""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""reindexing"", ""iteration"", ""permutation"", ""extension""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_first,extension,medium,full_rule_remap,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,"{""1"": [""domka vikne vikne domka vikne vikne""], ""2"": [""domka vikne vikne domka vikne vikne""], ""3"": [""domka vikne vikne domka vikne vikne""], ""4"": [""domka vikne vikne domka vikne vikne""], ""5"": [""domka vikne vikne domka vikne vikne""]}","{""1"": [""kama domka domka tir kama domka domka tir""], ""2"": [""kama domka domka tir kama domka domka tir""], ""3"": [""kama domka domka tir kama domka domka tir""], ""4"": [""kama domka domka tir kama domka domka tir""], ""5"": [""kama domka domka tir kama domka domka tir""]}","[""domka kama domka""]","[""domka vikne domka vikne""]","[{""inp"": ""kama vikne vikne"", ""out"": ""kama vikne vikne kama""}, {""inp"": ""domka domka domka"", ""out"": ""domka domka domka domka""}, {""inp"": ""domka kama tir"", ""out"": ""domka kama tir domka""}, {""inp"": ""vikne kama kama"", ""out"": ""vikne kama kama vikne""}, {""inp"": ""vikne kama domka vikne"", ""out"": ""vikne kama domka vikne vikne""}]","[{""inp"": ""domka vikne vikne"", ""out"": ""domka vikne vikne domka""}]","[{""inp"": ""domka kama"", ""out"": ""domka kama domka""}]","[{""inp"": ""domka domka vikne vikne"", ""out"": ""domka domka vikne vikne domka domka vikne vikne""}, {""inp"": ""kama vikne domka tir"", ""out"": ""kama vikne domka tir kama vikne domka tir""}, {""inp"": ""vikne kama kama kama"", ""out"": ""vikne kama kama kama vikne kama kama kama""}, {""inp"": ""vikne tir vikne kama"", ""out"": ""vikne tir vikne kama vikne tir vikne kama""}, {""inp"": ""tir tir domka"", ""out"": ""tir tir domka tir tir domka""}]","[{""inp"": ""kama domka domka tir"", ""out"": ""kama domka domka tir kama domka domka tir""}]","[{""inp"": ""domka vikne"", ""out"": ""domka vikne domka vikne""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""iteration"", ""extension"", ""reindexing"", ""partitioning""], ""template"": ""extension_append_boundary_side_first"", ""template_family"": ""extension"", ""template_params"": {""side"": ""first""}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,partitioning_by_offset_offset_1,partitioning,hard,full_rule_remap,True,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,"{""1"": [""sama""], ""2"": [""div""], ""3"": [""sama""], ""4"": [""div""], ""5"": [""div""]}","{""1"": [""kuvo""], ""2"": [""div""], ""3"": [""sama""], ""4"": [""kuvo""], ""5"": [""kuvo""]}","[""div""]","[""losa kuvo""]","[{""inp"": ""losa kuvo kutvi"", ""out"": ""kuvo""}, {""inp"": ""kuvo sama"", ""out"": ""sama""}, {""inp"": ""kutvi div losa"", ""out"": ""div""}, {""inp"": ""losa kutvi sama"", ""out"": ""kutvi""}, {""inp"": ""div sama kutvi"", ""out"": ""sama""}]","[{""inp"": ""kutvi sama div"", ""out"": ""sama""}]","[{""inp"": ""kuvo kutvi div sama"", ""out"": ""kutvi sama""}]","[{""inp"": ""div losa"", ""out"": ""losa div""}, {""inp"": ""kutvi div"", ""out"": ""div kutvi""}, {""inp"": ""kutvi losa sama"", ""out"": ""sama losa kutvi""}, {""inp"": ""kutvi div sama"", ""out"": ""sama div kutvi""}, {""inp"": ""kuvo sama losa"", ""out"": ""losa sama kuvo""}]","[{""inp"": ""kutvi kuvo"", ""out"": ""kuvo kutvi""}]","[{""inp"": ""sama losa kuvo div"", ""out"": ""div kuvo losa sama""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""reindexing"", ""partitioning"", ""extension"", ""permutation"", ""iteration""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
