task_name,difficulty,shift_type,template,template_family,template_params,shifted_template,shifted_template_family,shifted_template_params,candidate_rule_count,size_constraints,module_design,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,final_score,pred_pre,pred_post,pred_pre_probe,pred_post_probe,pre_interaction_trace,post_interaction_trace,error_type,error_message
feedback_exploration_string,medium,full_rule_remap,,,,,,,,,interaction_plus_probe,0.625,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.25,"{""1"": ""Op_4"", ""2"": ""Op_2"", ""3"": ""Op_5"", ""4"": ""Op_5"", ""5"": ""Op_5""}","{""1"": ""Op_1"", ""2"": ""Op_4"", ""3"": ""Op_1"", ""4"": ""Op_1"", ""5"": ""Op_1""}","""fide""","""lode""","[{""round"": 1, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""nefsi fide"", ""feedback"": ""Shape hint: the correct output has 3 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""nefsi lode fide nefsi lode fide"", ""feedback"": ""Structure hint: the first output token comes from the last input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 3, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""fide nefsi lode"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]","[{""round"": 1, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""nefsi lode fide fide"", ""feedback"": ""Shape hint: the correct output has 3 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""nefsi fide"", ""feedback"": ""Structure hint: the first output token comes from the first input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 3, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""nefsi lode fide fide"", ""feedback"": ""Structure hint: the first output token comes from the first input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 4, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""nefsi lode fide fide"", ""feedback"": ""Structure hint: the first output token comes from the first input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 5, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""nefsi lode fide fide"", ""feedback"": ""Structure hint: the first output token comes from the first input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}]",,
feedback_exploration_string,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.875,1.0,1.0,0.0,0.0,0.875,1.0,0.0,0.0,0.0,0.0,0.65,"{""1"": ""Op_5"", ""2"": ""Op_4"", ""3"": ""Op_4"", ""4"": ""Op_4"", ""5"": ""Op_4""}","{""1"": ""Op_5"", ""2"": ""Op_5"", ""3"": ""Op_5"", ""4"": ""Op_5"", ""5"": ""Op_5""}","""shagchi chisi chisi kizcho shagchi shagchi shagchi""","""kizcho shagchi kizcho chinva kizcho kizcho""","[{""round"": 1, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""kizcho chisi shagchi"", ""feedback"": ""Shape hint: the correct output has 1 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""shagchi"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]","[{""round"": 1, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""kizcho chisi shagchi"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]",,
feedback_exploration_string,easy,full_rule_remap,,,,,,,,,interaction_plus_probe,0.875,1.0,1.0,0.0,0.0,0.875,1.0,0.0,0.0,0.0,0.0,0.65,"{""1"": ""Op_4"", ""2"": ""Op_3"", ""3"": ""Op_3"", ""4"": ""Op_3"", ""5"": ""Op_3""}","{""1"": ""Op_4"", ""2"": ""Op_4"", ""3"": ""Op_4"", ""4"": ""Op_4"", ""5"": ""Op_4""}","""mesho mag mesho tim mesho""","""mesho mag mesho tim mesho""","[{""round"": 1, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""mesho tim mesho"", ""feedback"": ""Shape hint: the correct output has 1 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""3"", ""parsed_choice"": 3, ""chosen_op"": ""Op_3"", ""chosen_output"": ""mesho"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]","[{""round"": 1, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""mesho tim mesho"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]",,
feedback_exploration_string,medium,full_rule_remap,,,,,,,,,interaction_plus_probe,0.875,0.875,0.875,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.6125,"{""1"": ""Op_1"", ""2"": ""Op_3"", ""3"": ""Op_3"", ""4"": ""Op_3"", ""5"": ""Op_3""}","{""1"": ""Op_1"", ""2"": ""Op_5"", ""3"": ""Op_5"", ""4"": ""Op_5"", ""5"": ""Op_5""}","""shid chosi nasno""","""chosi sir nasno sir nasno sir nasno""","[{""round"": 1, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""chosi shid"", ""feedback"": ""Shape hint: the correct output has 4 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""3"", ""parsed_choice"": 3, ""chosen_op"": ""Op_3"", ""chosen_output"": ""sir chosi sir shid"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]","[{""round"": 1, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""chosi shid"", ""feedback"": ""Shape hint: the correct output has 8 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""chosi sir shid sir chosi sir shid sir"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]",,
feedback_exploration_string,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,0.875,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.2625,"{""1"": ""Op_2"", ""2"": ""Op_1"", ""3"": ""Op_3"", ""4"": null, ""5"": ""Op_2""}","{""1"": ""Op_1"", ""2"": ""Op_2"", ""3"": ""Op_2"", ""4"": ""Op_2"", ""5"": ""Op_2""}","""chifte zela""","""chon gezi""","[{""round"": 1, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""chifte chon gezi zela"", ""feedback"": ""Shape hint: the correct output has 2 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""zela chon"", ""feedback"": ""Shape hint: the correct output has 2 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 3, ""raw_answer"": ""3"", ""parsed_choice"": 3, ""chosen_op"": ""Op_3"", ""chosen_output"": ""zela chifte chon gezi zela"", ""feedback"": ""Shape hint: the correct output has 2 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 4, ""raw_answer"": ""6"", ""parsed_choice"": null, ""chosen_op"": null, ""chosen_output"": null, ""feedback"": ""Invalid choice. Choose exactly one operator number from 1 to 5."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 5, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""chifte chon gezi zela"", ""feedback"": ""Shape hint: the correct output has 2 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}]","[{""round"": 1, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""zela chon"", ""feedback"": ""Shape hint: the correct output has 4 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""chifte chon gezi zela"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]",,
feedback_exploration_string,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.875,0.875,0.875,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.6125,"{""1"": ""Op_3"", ""2"": ""Op_4"", ""3"": ""Op_4"", ""4"": ""Op_4"", ""5"": ""Op_4""}","{""1"": ""Op_1"", ""2"": ""Op_2"", ""3"": ""Op_2"", ""4"": ""Op_2"", ""5"": ""Op_2""}","""->""","""kego dochne chus zemku soku""","[{""round"": 1, ""raw_answer"": ""3"", ""parsed_choice"": 3, ""chosen_op"": ""Op_3"", ""chosen_output"": ""dochne chus kego soku"", ""feedback"": ""Shape hint: the correct output has 2 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""chus soku"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]","[{""round"": 1, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""dochne soku kego chus"", ""feedback"": ""Shape hint: the correct output has 8 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""chus kego soku dochne chus kego soku dochne"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]",,
feedback_exploration_string,easy,full_rule_remap,,,,,,,,,interaction_plus_probe,0.875,0.625,0.625,0.0,0.0,0.875,0.625,0.0,0.0,0.0,0.0,0.5375000000000001,"{""1"": ""Op_3"", ""2"": ""Op_1"", ""3"": ""Op_1"", ""4"": ""Op_1"", ""5"": ""Op_1""}","{""1"": ""Op_2"", ""2"": ""Op_2"", ""3"": ""Op_3"", ""4"": ""Op_3"", ""5"": ""Op_3""}","""femta sile sile mume mume mume""","""sile mume mume sile sile femta""","[{""round"": 1, ""raw_answer"": ""3"", ""parsed_choice"": 3, ""chosen_op"": ""Op_3"", ""chosen_output"": ""mume femta mume sile"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""sile mume femta mume sile"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]","[{""round"": 1, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""mume sile mume femta"", ""feedback"": ""Shape hint: the correct output has 4 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""mume sile mume femta"", ""feedback"": ""Structure hint: the first output token comes from the last input token, and the last output token comes from the first input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 3, ""raw_answer"": ""3"", ""parsed_choice"": 3, ""chosen_op"": ""Op_3"", ""chosen_output"": ""mume femta mume sile"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]",,
feedback_exploration_string,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": ""Op_5"", ""2"": ""Op_5"", ""3"": ""Op_5"", ""4"": ""Op_5"", ""5"": ""Op_5""}","{""1"": ""Op_5"", ""2"": ""Op_4"", ""3"": ""Op_4"", ""4"": ""Op_4"", ""5"": ""Op_4""}","""ralo mobo mobo kusko lopgu kusko ralo mobo mobo kusko lopgu kusko""","""shupa ralo mobo lopgu""","[{""round"": 1, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""shupa kusko mobo lopgu shupa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""shupa kusko mobo lopgu shupa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 3, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""shupa kusko mobo lopgu shupa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 4, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""shupa kusko mobo lopgu shupa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 5, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""shupa kusko mobo lopgu shupa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}]","[{""round"": 1, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""shupa kusko mobo lopgu shupa"", ""feedback"": ""Shape hint: the correct output has 4 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""kusko lopgu"", ""feedback"": ""Shape hint: the correct output has 4 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 3, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""kusko lopgu"", ""feedback"": ""Shape hint: the correct output has 4 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 4, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""kusko lopgu"", ""feedback"": ""Shape hint: the correct output has 4 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 5, ""raw_answer"": ""4"", ""parsed_choice"": 4, ""chosen_op"": ""Op_4"", ""chosen_output"": ""kusko lopgu"", ""feedback"": ""Shape hint: the correct output has 4 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}]",,
feedback_exploration_string,medium,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,"{""1"": ""Op_2"", ""2"": ""Op_2"", ""3"": ""Op_2"", ""4"": ""Op_2"", ""5"": ""Op_2""}","{""1"": ""Op_2"", ""2"": ""Op_2"", ""3"": ""Op_2"", ""4"": ""Op_2"", ""5"": ""Op_2""}","""tir domka domka""","""tir domka vikne""","[{""round"": 1, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""domka"", ""feedback"": ""Shape hint: the correct output has 3 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""domka"", ""feedback"": ""Structure hint: the first output token comes from the last input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 3, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""domka"", ""feedback"": ""Structure hint: the first output token comes from the last input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 4, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""domka"", ""feedback"": ""Structure hint: the first output token comes from the last input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 5, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""domka"", ""feedback"": ""Structure hint: the first output token comes from the last input token."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}]","[{""round"": 1, ""raw_answer"": ""2"", ""parsed_choice"": 2, ""chosen_op"": ""Op_2"", ""chosen_output"": ""domka"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]",,
feedback_exploration_string,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4,"{""1"": ""Op_5"", ""2"": ""Op_5"", ""3"": ""Op_5"", ""4"": ""Op_5"", ""5"": ""Op_5""}","{""1"": ""Op_5"", ""2"": ""Op_5"", ""3"": ""Op_5"", ""4"": ""Op_5"", ""5"": ""Op_5""}","""kutvi losa kutvi losa""","""losa div losa div""","[{""round"": 1, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""kutvi sama div losa kutvi sama div losa"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]","[{""round"": 1, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""kutvi sama div losa kutvi sama div losa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 2, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""kutvi sama div losa kutvi sama div losa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 3, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""kutvi sama div losa kutvi sama div losa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 4, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""kutvi sama div losa kutvi sama div losa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}, {""round"": 5, ""raw_answer"": ""5"", ""parsed_choice"": 5, ""chosen_op"": ""Op_5"", ""chosen_output"": ""kutvi sama div losa kutvi sama div losa"", ""feedback"": ""Shape hint: the correct output has 5 token(s)."", ""correct"": false, ""score"": 0.0, ""soft_score"": 0.0}]",,
