task_name,rule,rule_family,difficulty,shift_type,schema_success,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,final_score,pred_pre_json,pred_post_json,pred_pre_probe_json,pred_post_probe_json,support_pool_json,queries_json,probes_json,post_support_pool_json,post_queries_json,post_probes_json,metadata_json,error_type,error_message
symbolic_binding_string,iteration_duplicate,iteration,medium,full_rule_remap,True,1.0,0.75,0.75,1.0,0.0,1.0,0.75,1.0,1.0,1.0,1.0,0.925,"{""1"": [""nefsi lode nefsi lode nefsi lode nefsi lode""], ""2"": [""nefsi lode nefsi lode nefsi lode nefsi lode""], ""3"": [""nefsi lode nefsi lode nefsi lode nefsi lode""], ""4"": [""nefsi lode nefsi lode nefsi lode nefsi lode""], ""5"": [""nefsi lode nefsi lode nefsi lode nefsi lode""]}","{""1"": [""fide""], ""2"": [""fide nefsi""], ""3"": [""fide""], ""4"": [""fide""], ""5"": [""fide""]}","[""fide fide fide fide""]","[""nefsi""]","[{""inp"": ""sash nefsi lode"", ""out"": ""sash nefsi lode sash nefsi lode""}, {""inp"": ""lode nefsi fide"", ""out"": ""lode nefsi fide lode nefsi fide""}, {""inp"": ""lode fide lode lode"", ""out"": ""lode fide lode lode lode fide lode lode""}, {""inp"": ""sash lode fide nefsi"", ""out"": ""sash lode fide nefsi sash lode fide nefsi""}, {""inp"": ""nefsi nefsi nefsi lode"", ""out"": ""nefsi nefsi nefsi lode nefsi nefsi nefsi lode""}]","[{""inp"": ""nefsi lode nefsi lode"", ""out"": ""nefsi lode nefsi lode nefsi lode nefsi lode""}]","[{""inp"": ""fide fide"", ""out"": ""fide fide fide fide""}]","[{""inp"": ""nefsi sash sash sash"", ""out"": ""sash sash""}, {""inp"": ""nefsi fide nefsi lode"", ""out"": ""fide lode""}, {""inp"": ""fide nefsi sash"", ""out"": ""nefsi""}, {""inp"": ""sash nefsi lode fide"", ""out"": ""nefsi fide""}, {""inp"": ""nefsi nefsi nefsi"", ""out"": ""nefsi""}]","[{""inp"": ""nefsi fide nefsi"", ""out"": ""fide""}]","[{""inp"": ""lode nefsi"", ""out"": ""nefsi""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""partitioning"", ""permutation"", ""iteration""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""partitioning_by_offset_offset_1"", ""shifted_template_family"": ""partitioning"", ""shifted_template_params"": {""offset"": 1}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,partitioning_by_offset_offset_1,partitioning,medium,full_rule_remap,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6,"{""1"": [""chosi sir""], ""2"": [""chosi""], ""3"": [""sir""], ""4"": [""chosi sir""], ""5"": [""sir""]}","{""1"": [""sir nasno shid chosi sir nasno shid chosi""], ""2"": [""sir nasno shid chosi sir nasno shid chosi""], ""3"": [""sir nasno shid chosi sir nasno shid chosi""], ""4"": [""sir nasno shid chosi sir nasno shid chosi""], ""5"": [""sir nasno shid chosi sir nasno shid chosi""]}","[""shid shid""]","[""sir shid sir shid""]","[{""inp"": ""nasno nasno shid chosi"", ""out"": ""nasno chosi""}, {""inp"": ""nasno chosi sir"", ""out"": ""chosi""}, {""inp"": ""shid sir chosi"", ""out"": ""sir""}, {""inp"": ""chosi sir shid"", ""out"": ""sir""}, {""inp"": ""nasno nasno sir sir"", ""out"": ""nasno sir""}]","[{""inp"": ""chosi sir shid sir"", ""out"": ""sir sir""}]","[{""inp"": ""shid shid"", ""out"": ""shid""}]","[{""inp"": ""nasno sir nasno"", ""out"": ""nasno sir nasno nasno sir nasno""}, {""inp"": ""sir chosi sir nasno"", ""out"": ""sir chosi sir nasno sir chosi sir nasno""}, {""inp"": ""chosi nasno sir nasno"", ""out"": ""chosi nasno sir nasno chosi nasno sir nasno""}, {""inp"": ""nasno chosi nasno"", ""out"": ""nasno chosi nasno nasno chosi nasno""}, {""inp"": ""shid sir nasno shid"", ""out"": ""shid sir nasno shid shid sir nasno shid""}]","[{""inp"": ""sir nasno shid chosi"", ""out"": ""sir nasno shid chosi sir nasno shid chosi""}]","[{""inp"": ""sir shid"", ""out"": ""sir shid sir shid""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""partitioning"", ""iteration"", ""permutation""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_last,extension,medium,full_rule_remap,True,1.0,0.25,0.25,0.0,0.0,1.0,0.25,1.0,0.0,1.0,0.0,0.47500000000000003,"{""1"": [""cherbe cherbe mogsho mogsho""], ""2"": [""cherbe cherbe mogsho mogsho""], ""3"": [""cherbe cherbe mogsho mogsho""], ""4"": [""cherbe cherbe mogsho mogsho""], ""5"": [""cherbe cherbe mogsho mogsho""]}","{""1"": [""vota mogsho vota cherbe""], ""2"": [""cherbe mogsho vota vota""], ""3"": [""cherbe mogsho vota vota""], ""4"": [""mogsho vota cherbe vota""], ""5"": [""vota mogsho vota cherbe""]}","[""vota vota cherbe cherbe cherbe cherbe""]","[""mogsho cherbe vota cherbe mogsho""]","[{""inp"": ""vota vota cherbe vota"", ""out"": ""vota vota cherbe vota vota""}, {""inp"": ""nukpe mogsho vota mogsho"", ""out"": ""nukpe mogsho vota mogsho mogsho""}, {""inp"": ""mogsho cherbe vota"", ""out"": ""mogsho cherbe vota vota""}, {""inp"": ""mogsho nukpe nukpe"", ""out"": ""mogsho nukpe nukpe nukpe""}, {""inp"": ""cherbe vota vota vota"", ""out"": ""cherbe vota vota vota vota""}]","[{""inp"": ""cherbe cherbe mogsho"", ""out"": ""cherbe cherbe mogsho mogsho""}]","[{""inp"": ""vota vota cherbe cherbe cherbe"", ""out"": ""vota vota cherbe cherbe cherbe cherbe""}]","[{""inp"": ""cherbe nukpe nukpe"", ""out"": ""nukpe nukpe cherbe""}, {""inp"": ""nukpe vota mogsho nukpe"", ""out"": ""nukpe mogsho vota nukpe""}, {""inp"": ""nukpe vota nukpe"", ""out"": ""nukpe vota nukpe""}, {""inp"": ""mogsho cherbe cherbe"", ""out"": ""cherbe cherbe mogsho""}, {""inp"": ""cherbe cherbe mogsho vota"", ""out"": ""vota mogsho cherbe cherbe""}]","[{""inp"": ""cherbe vota mogsho vota"", ""out"": ""vota mogsho vota cherbe""}]","[{""inp"": ""mogsho mogsho cherbe vota cherbe"", ""out"": ""cherbe vota cherbe mogsho mogsho""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""partitioning"", ""extension"", ""permutation"", ""iteration""], ""template"": ""extension_append_boundary_side_last"", ""template_family"": ""extension"", ""template_params"": {""side"": ""last""}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_first,extension,easy,full_rule_remap,True,0.875,1.0,1.0,1.0,0.0,0.875,1.0,1.0,1.0,1.0,1.0,0.95,"{""1"": [""chebni chebni pani pani pani pani""], ""2"": [""chebni chebni pani pani pani chebni""], ""3"": [""chebni chebni pani pani pani chebni""], ""4"": [""chebni chebni pani pani pani chebni""], ""5"": [""chebni chebni pani pani pani chebni""]}","{""1"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""], ""2"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""], ""3"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""], ""4"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""], ""5"": [""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""]}","[""pani chebni chebni sizli pani chebni pani""]","[""chebni pani pani chebni sizli sizli chebni pani pani chebni sizli sizli""]","[{""inp"": ""sizli sizli sizli sizli chebni"", ""out"": ""sizli sizli sizli sizli chebni sizli""}, {""inp"": ""sizli chebni sizli chebni sizli"", ""out"": ""sizli chebni sizli chebni sizli sizli""}, {""inp"": ""chebni sizli pani pani"", ""out"": ""chebni sizli pani pani chebni""}, {""inp"": ""chebni chebni sizli chebni sizli"", ""out"": ""chebni chebni sizli chebni sizli chebni""}, {""inp"": ""chebni pani chebni chebni chebni"", ""out"": ""chebni pani chebni chebni chebni chebni""}]","[{""inp"": ""chebni chebni pani pani pani"", ""out"": ""chebni chebni pani pani pani chebni""}]","[{""inp"": ""pani chebni chebni sizli pani chebni"", ""out"": ""pani chebni chebni sizli pani chebni pani""}]","[{""inp"": ""pani chebni pani pani pani"", ""out"": ""pani chebni pani pani pani pani chebni pani pani pani""}, {""inp"": ""pani sizli chebni chebni pani"", ""out"": ""pani sizli chebni chebni pani pani sizli chebni chebni pani""}, {""inp"": ""pani sizli chebni pani pani"", ""out"": ""pani sizli chebni pani pani pani sizli chebni pani pani""}, {""inp"": ""chebni chebni sizli sizli chebni"", ""out"": ""chebni chebni sizli sizli chebni chebni chebni sizli sizli chebni""}, {""inp"": ""chebni sizli chebni chebni"", ""out"": ""chebni sizli chebni chebni chebni sizli chebni chebni""}]","[{""inp"": ""chebni sizli sizli chebni sizli"", ""out"": ""chebni sizli sizli chebni sizli chebni sizli sizli chebni sizli""}]","[{""inp"": ""chebni pani pani chebni sizli sizli"", ""out"": ""chebni pani pani chebni sizli sizli chebni pani pani chebni sizli sizli""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""iteration""], ""template"": ""extension_append_boundary_side_first"", ""template_family"": ""extension"", ""template_params"": {""side"": ""first""}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,reindexing_rotate_k_1,reindexing,medium,full_rule_remap,True,0.875,0.875,0.875,1.0,0.0,0.875,0.875,1.0,1.0,1.0,1.0,0.9125000000000001,"{""1"": [""kapu zakzi zakzi zakzi""], ""2"": [""zakzi zakzi kapu zakzi""], ""3"": [""zakzi zakzi kapu zakzi""], ""4"": [""zakzi zakzi kapu zakzi""], ""5"": [""zakzi zakzi kapu zakzi""]}","{""1"": [""funpo zakzi shuni kapu""], ""2"": [""funpo shuni zakzi kapu""], ""3"": [""funpo shuni zakzi kapu""], ""4"": [""funpo shuni zakzi kapu""], ""5"": [""funpo shuni zakzi kapu""]}","[""kapu shuni""]","[""shuni shuni""]","[{""inp"": ""kapu funpo zakzi funpo"", ""out"": ""funpo kapu funpo zakzi""}, {""inp"": ""kapu shuni funpo"", ""out"": ""funpo kapu shuni""}, {""inp"": ""zakzi funpo funpo kapu"", ""out"": ""kapu zakzi funpo funpo""}, {""inp"": ""kapu funpo kapu shuni"", ""out"": ""shuni kapu funpo kapu""}, {""inp"": ""kapu shuni shuni zakzi"", ""out"": ""zakzi kapu shuni shuni""}]","[{""inp"": ""zakzi kapu zakzi zakzi"", ""out"": ""zakzi zakzi kapu zakzi""}]","[{""inp"": ""shuni kapu"", ""out"": ""kapu shuni""}]","[{""inp"": ""funpo kapu shuni"", ""out"": ""shuni kapu funpo""}, {""inp"": ""funpo zakzi funpo"", ""out"": ""funpo zakzi funpo""}, {""inp"": ""kapu kapu kapu zakzi"", ""out"": ""zakzi kapu kapu kapu""}, {""inp"": ""kapu kapu funpo funpo"", ""out"": ""funpo funpo kapu kapu""}, {""inp"": ""zakzi kapu zakzi shuni"", ""out"": ""shuni zakzi kapu zakzi""}]","[{""inp"": ""kapu zakzi shuni funpo"", ""out"": ""funpo shuni zakzi kapu""}]","[{""inp"": ""shuni shuni"", ""out"": ""shuni shuni""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""reindexing"", ""partitioning"", ""permutation""], ""template"": ""reindexing_rotate_k_1"", ""template_family"": ""reindexing"", ""template_params"": {""k"": 1}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,reindexing_rotate_k_-1,reindexing,medium,full_rule_remap,True,0.375,1.0,1.0,1.0,0.0,0.375,1.0,1.0,1.0,1.0,1.0,0.75,"{""1"": [""shagro sir teno""], ""2"": [""shagro sir teno""], ""3"": [""shagro sir teno""], ""4"": [""sir teno shagro""], ""5"": [""sir teno shagro""]}","{""1"": [""sir bad bad bad""], ""2"": [""sir bad bad bad""], ""3"": [""sir bad bad bad""], ""4"": [""sir bad bad bad""], ""5"": [""sir bad bad bad""]}","[""bad bad""]","[""bad bad bad""]","[{""inp"": ""sir sir sir"", ""out"": ""sir sir sir""}, {""inp"": ""sir shagro shagro sir"", ""out"": ""shagro shagro sir sir""}, {""inp"": ""shagro shagro teno"", ""out"": ""shagro teno shagro""}, {""inp"": ""sir teno shagro"", ""out"": ""teno shagro sir""}, {""inp"": ""shagro shagro shagro"", ""out"": ""shagro shagro shagro""}]","[{""inp"": ""shagro sir teno"", ""out"": ""sir teno shagro""}]","[{""inp"": ""bad bad"", ""out"": ""bad bad""}]","[{""inp"": ""bad bad sir teno"", ""out"": ""bad bad sir teno teno""}, {""inp"": ""teno shagro sir shagro"", ""out"": ""teno shagro sir shagro shagro""}, {""inp"": ""sir sir bad shagro"", ""out"": ""sir sir bad shagro shagro""}, {""inp"": ""sir shagro teno"", ""out"": ""sir shagro teno teno""}, {""inp"": ""bad shagro bad shagro"", ""out"": ""bad shagro bad shagro shagro""}]","[{""inp"": ""sir bad bad"", ""out"": ""sir bad bad bad""}]","[{""inp"": ""bad bad"", ""out"": ""bad bad bad""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""permutation"", ""iteration"", ""reindexing"", ""extension""], ""template"": ""reindexing_rotate_k_-1"", ""template_family"": ""reindexing"", ""template_params"": {""k"": -1}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_last,extension,easy,full_rule_remap,True,1.0,0.125,0.125,0.0,0.0,1.0,0.125,1.0,0.0,1.0,0.0,0.4375,"{""1"": [""noz suzi suzi gapdu noz noz""], ""2"": [""noz suzi suzi gapdu noz noz""], ""3"": [""noz suzi suzi gapdu noz noz""], ""4"": [""noz suzi suzi gapdu noz noz""], ""5"": [""noz suzi suzi gapdu noz noz""]}","{""1"": [""gapdu gapdu""], ""2"": [""suzi suzi""], ""3"": [""suzi suzi""], ""4"": [""gapdu gapdu""], ""5"": [""suzi gapdu""]}","[""suzi gapdu suzi suzi""]","[""gapdu gapdu""]","[{""inp"": ""suzi suzi gapdu gapdu"", ""out"": ""suzi suzi gapdu gapdu gapdu""}, {""inp"": ""gapdu suzi gapdu noz"", ""out"": ""gapdu suzi gapdu noz noz""}, {""inp"": ""gapdu suzi suzi noz gapdu"", ""out"": ""gapdu suzi suzi noz gapdu gapdu""}, {""inp"": ""noz suzi gapdu noz noz"", ""out"": ""noz suzi gapdu noz noz noz""}, {""inp"": ""gapdu noz gapdu gapdu gapdu"", ""out"": ""gapdu noz gapdu gapdu gapdu gapdu""}]","[{""inp"": ""noz suzi suzi gapdu noz"", ""out"": ""noz suzi suzi gapdu noz noz""}]","[{""inp"": ""suzi gapdu suzi"", ""out"": ""suzi gapdu suzi suzi""}]","[{""inp"": ""gapdu gapdu suzi noz noz"", ""out"": ""gapdu noz""}, {""inp"": ""noz gapdu noz gapdu noz"", ""out"": ""gapdu gapdu""}, {""inp"": ""noz noz noz suzi"", ""out"": ""noz suzi""}, {""inp"": ""gapdu gapdu gapdu gapdu noz"", ""out"": ""gapdu gapdu""}, {""inp"": ""noz suzi suzi suzi noz"", ""out"": ""suzi suzi""}]","[{""inp"": ""gapdu suzi gapdu gapdu"", ""out"": ""suzi gapdu""}]","[{""inp"": ""suzi gapdu suzi"", ""out"": ""gapdu""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""partitioning""], ""template"": ""extension_append_boundary_side_last"", ""template_family"": ""extension"", ""template_params"": {""side"": ""last""}, ""shifted_template"": ""partitioning_by_offset_offset_1"", ""shifted_template_family"": ""partitioning"", ""shifted_template_params"": {""offset"": 1}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,partitioning_by_offset_offset_0,partitioning,medium,full_rule_remap,True,0.875,1.0,1.0,1.0,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.95,"{""1"": [""chuv gur""], ""2"": [""chuv tiche""], ""3"": [""chuv tiche""], ""4"": [""chuv tiche""], ""5"": [""chuv tiche""]}","{""1"": [""push chuv gur tiche""], ""2"": [""push chuv gur tiche""], ""3"": [""push chuv gur tiche""], ""4"": [""push chuv gur tiche""], ""5"": [""push chuv gur tiche""]}","[""chuv chuv""]","[""chuv chuv gur push push gur""]","[{""inp"": ""gur gur push chuv"", ""out"": ""gur push""}, {""inp"": ""gur chuv gur"", ""out"": ""gur gur""}, {""inp"": ""chuv tiche chuv gur"", ""out"": ""chuv chuv""}, {""inp"": ""chuv gur push"", ""out"": ""chuv push""}, {""inp"": ""tiche tiche tiche push"", ""out"": ""tiche tiche""}]","[{""inp"": ""chuv gur tiche"", ""out"": ""chuv tiche""}]","[{""inp"": ""chuv chuv gur chuv tiche gur"", ""out"": ""chuv gur tiche""}]","[{""inp"": ""push gur chuv"", ""out"": ""chuv gur push""}, {""inp"": ""gur tiche tiche"", ""out"": ""tiche tiche gur""}, {""inp"": ""chuv chuv gur tiche"", ""out"": ""tiche gur chuv chuv""}, {""inp"": ""push chuv chuv gur"", ""out"": ""gur chuv chuv push""}, {""inp"": ""chuv push push tiche"", ""out"": ""tiche push push chuv""}]","[{""inp"": ""tiche gur chuv push"", ""out"": ""push chuv gur tiche""}]","[{""inp"": ""gur push push gur chuv chuv"", ""out"": ""chuv chuv gur push push gur""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""permutation"", ""extension"", ""reindexing"", ""partitioning""], ""template"": ""partitioning_by_offset_offset_0"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 0}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,iteration_duplicate,iteration,easy,full_rule_remap,True,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,"{""1"": [""sushchu zonshe kepo zonshe zonshe sushchu zonshe kepo zonshe zonshe""], ""2"": [""sushchu zonshe kepo zonshe zonshe sushchu zonshe kepo zonshe zonshe""], ""3"": [""sushchu zonshe kepo zonshe zonshe sushchu zonshe kepo zonshe zonshe""], ""4"": [""sushchu zonshe kepo zonshe zonshe sushchu zonshe kepo zonshe zonshe""], ""5"": [""sushchu zonshe kepo zonshe zonshe sushchu zonshe kepo zonshe zonshe""]}","{""1"": [""sushchu zonshe sushchu sushchu kepo""], ""2"": [""sushchu sushchu zonshe sushchu kepo""], ""3"": [""sushchu sushchu zonshe kepo sushchu""], ""4"": [""sushchu sushchu sushchu zonshe kepo""], ""5"": [""sushchu sushchu zonshe sushchu kepo""]}","[""kepo zonshe kepo kepo zonshe kepo""]","[""kepo kepo kepo""]","[{""inp"": ""kepo kepo kepo kepo zonshe"", ""out"": ""kepo kepo kepo kepo zonshe kepo kepo kepo kepo zonshe""}, {""inp"": ""sushchu sushchu sushchu sushchu sushchu"", ""out"": ""sushchu sushchu sushchu sushchu sushchu sushchu sushchu sushchu sushchu sushchu""}, {""inp"": ""zonshe zonshe kepo zonshe kepo"", ""out"": ""zonshe zonshe kepo zonshe kepo zonshe zonshe kepo zonshe kepo""}, {""inp"": ""kepo sushchu zonshe sushchu"", ""out"": ""kepo sushchu zonshe sushchu kepo sushchu zonshe sushchu""}, {""inp"": ""sushchu kepo sushchu zonshe zonshe"", ""out"": ""sushchu kepo sushchu zonshe zonshe sushchu kepo sushchu zonshe zonshe""}]","[{""inp"": ""sushchu zonshe kepo zonshe zonshe"", ""out"": ""sushchu zonshe kepo zonshe zonshe sushchu zonshe kepo zonshe zonshe""}]","[{""inp"": ""kepo zonshe kepo"", ""out"": ""kepo zonshe kepo kepo zonshe kepo""}]","[{""inp"": ""sushchu kepo zonshe sushchu"", ""out"": ""sushchu zonshe kepo sushchu""}, {""inp"": ""kepo zonshe zonshe kepo zonshe"", ""out"": ""zonshe kepo zonshe zonshe kepo""}, {""inp"": ""kepo zonshe kepo kepo"", ""out"": ""kepo kepo zonshe kepo""}, {""inp"": ""zonshe kepo kepo sushchu zonshe"", ""out"": ""zonshe sushchu kepo kepo zonshe""}, {""inp"": ""zonshe zonshe zonshe zonshe"", ""out"": ""zonshe zonshe zonshe zonshe""}]","[{""inp"": ""sushchu sushchu zonshe sushchu kepo"", ""out"": ""kepo sushchu zonshe sushchu sushchu""}]","[{""inp"": ""kepo kepo kepo"", ""out"": ""kepo kepo kepo""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""iteration"", ""permutation""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_string,extension_append_boundary_side_last,extension,medium,full_rule_remap,True,1.0,0.125,0.125,0.0,0.0,1.0,0.125,1.0,0.0,1.0,0.0,0.4375,"{""1"": [""zeri sosh sosh tate tate""], ""2"": [""zeri sosh sosh tate tate""], ""3"": [""zeri sosh sosh tate tate""], ""4"": [""zeri sosh sosh tate tate""], ""5"": [""zeri sosh sosh tate tate""]}","{""1"": [""sosh sosh""], ""2"": [""sosh sosh""], ""3"": [""sosh zasa""], ""4"": [""sosh zasa""], ""5"": [""sosh zeri""]}","[""zasa zeri zasa zasa zasa zeri zeri""]","[""tate sosh""]","[{""inp"": ""zasa tate tate sosh"", ""out"": ""zasa tate tate sosh sosh""}, {""inp"": ""tate sosh tate zasa"", ""out"": ""tate sosh tate zasa zasa""}, {""inp"": ""tate zeri sosh zeri"", ""out"": ""tate zeri sosh zeri zeri""}, {""inp"": ""sosh tate zasa"", ""out"": ""sosh tate zasa zasa""}, {""inp"": ""zasa zeri sosh zeri"", ""out"": ""zasa zeri sosh zeri zeri""}]","[{""inp"": ""zeri sosh sosh tate"", ""out"": ""zeri sosh sosh tate tate""}]","[{""inp"": ""zasa zeri zasa zasa zasa zeri"", ""out"": ""zasa zeri zasa zasa zasa zeri zeri""}]","[{""inp"": ""tate zasa tate sosh"", ""out"": ""tate tate""}, {""inp"": ""tate zeri zeri sosh"", ""out"": ""tate zeri""}, {""inp"": ""zeri tate sosh zeri"", ""out"": ""zeri sosh""}, {""inp"": ""sosh tate sosh"", ""out"": ""sosh sosh""}, {""inp"": ""tate sosh tate"", ""out"": ""tate tate""}]","[{""inp"": ""sosh zasa zeri zasa"", ""out"": ""sosh zeri""}]","[{""inp"": ""tate zeri sosh zasa zeri tate"", ""out"": ""tate sosh zeri""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""permutation"", ""reindexing"", ""extension"", ""partitioning""], ""template"": ""extension_append_boundary_side_last"", ""template_family"": ""extension"", ""template_params"": {""side"": ""last""}, ""shifted_template"": ""partitioning_by_offset_offset_0"", ""shifted_template_family"": ""partitioning"", ""shifted_template_params"": {""offset"": 0}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
