task_name,chain,chain_families,shifted_chain,shifted_chain_families,difficulty,shift_type,schema_success,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,final_score,pred_pre_json,pred_post_json,pred_pre_probe_json,pred_post_probe_json,support_pool_json,queries_json,probes_json,post_support_pool_json,post_queries_json,post_probes_json,metadata_json,error_type,error_message
compositional_induction_string,permutation_reverse -> extension_append_boundary_side_last,permutation -> extension,permutation_reverse -> extension_append_boundary_side_first,permutation -> extension,medium,single_op_shift,True,0.0,0.25,0.25,1.0,0.0,0.0,0.25,0.0,1.0,0.0,1.0,0.375,"{""1"": [""lode lode nefsi lode lode nefsi""], ""2"": [""lode lode nefsi lode lode nefsi""], ""3"": [""lode lode nefsi lode lode nefsi""], ""4"": [""lode lode nefsi lode lode nefsi""], ""5"": [""lode lode nefsi lode lode nefsi""]}","{""1"": [""fide nefsi nefsi fide fide""], ""2"": [""fide nefsi nefsi nefsi fide""], ""3"": [""fide nefsi nefsi nefsi""], ""4"": [""fide nefsi nefsi nefsi""], ""5"": [""fide nefsi nefsi nefsi""]}","[""lode lode nefsi nefsi""]","[""fide lode fide""]","[{""inp"": ""fide fide fide"", ""out"": ""fide fide fide fide""}, {""inp"": ""nefsi fide nefsi fide"", ""out"": ""fide nefsi fide nefsi nefsi""}, {""inp"": ""nefsi fide fide"", ""out"": ""fide fide nefsi nefsi""}, {""inp"": ""fide lode lode"", ""out"": ""lode lode fide fide""}, {""inp"": ""fide lode nefsi"", ""out"": ""nefsi lode fide fide""}]","[{""inp"": ""lode lode nefsi"", ""out"": ""nefsi lode lode lode""}]","[{""inp"": ""lode nefsi"", ""out"": ""nefsi lode lode""}]","[{""inp"": ""nefsi lode fide"", ""out"": ""fide lode nefsi fide""}, {""inp"": ""fide nefsi nefsi"", ""out"": ""nefsi nefsi fide nefsi""}, {""inp"": ""lode fide lode"", ""out"": ""lode fide lode lode""}, {""inp"": ""lode lode nefsi lode"", ""out"": ""lode nefsi lode lode lode""}, {""inp"": ""lode lode fide nefsi"", ""out"": ""nefsi fide lode lode nefsi""}]","[{""inp"": ""nefsi nefsi nefsi fide"", ""out"": ""fide nefsi nefsi nefsi fide""}]","[{""inp"": ""lode fide"", ""out"": ""fide lode fide""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""partitioning"", ""permutation""], ""op_names"": [""permutation_reverse"", ""extension_append_boundary_side_last""], ""op_families"": [""permutation"", ""extension""], ""op_params"": [{}, {""side"": ""last""}], ""shifted_op_names"": [""permutation_reverse"", ""extension_append_boundary_side_first""], ""shifted_op_families"": [""permutation"", ""extension""], ""shifted_op_params"": [{}, {""side"": ""first""}], ""num_steps"": 2, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": ""fide nefsi nefsi nefsi nefsi""}",,
compositional_induction_string,partitioning_by_offset_offset_1 -> reindexing_rotate_k_-1,partitioning -> reindexing,partitioning_by_offset_offset_1 -> permutation_reverse,partitioning -> permutation,hard,single_op_shift,True,0.875,0.5,0.0,0.0,1.0,0.875,0.5,0.0,0.0,0.0,0.0,0.35000000000000003,"{""1"": [""chinva""], ""2"": [""chisi""], ""3"": [""chisi""], ""4"": [""chisi""], ""5"": [""chisi""]}","{""1"": [""chisi""], ""2"": [""shagchi""], ""3"": [""shagchi""], ""4"": [""chisi""], ""5"": [""chisi""]}","[""chisi""]","[""chinva""]","[{""inp"": ""nap chisi chinva"", ""out"": ""chisi""}, {""inp"": ""shagchi chinva nap"", ""out"": ""chinva""}, {""inp"": ""chisi chinva kizcho"", ""out"": ""chinva""}, {""inp"": ""nap kizcho shagchi"", ""out"": ""kizcho""}, {""inp"": ""shagchi chinva kizcho"", ""out"": ""chinva""}]","[{""inp"": ""chinva chisi shagchi"", ""out"": ""chisi""}]","[{""inp"": ""nap chisi kizcho chinva shagchi"", ""out"": ""chinva chisi""}]","[{""inp"": ""chinva chisi kizcho"", ""out"": ""chisi""}, {""inp"": ""kizcho shagchi nap"", ""out"": ""shagchi""}, {""inp"": ""kizcho nap chinva"", ""out"": ""nap""}, {""inp"": ""shagchi chisi kizcho"", ""out"": ""chisi""}, {""inp"": ""kizcho chinva shagchi"", ""out"": ""chinva""}]","[{""inp"": ""shagchi chisi chinva"", ""out"": ""chisi""}]","[{""inp"": ""kizcho shagchi chisi nap chinva"", ""out"": ""nap shagchi""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""iteration"", ""extension"", ""permutation"", ""reindexing""], ""op_names"": [""partitioning_by_offset_offset_1"", ""reindexing_rotate_k_-1""], ""op_families"": [""partitioning"", ""reindexing""], ""op_params"": [{""offset"": 1}, {""k"": -1}], ""shifted_op_names"": [""partitioning_by_offset_offset_1"", ""permutation_reverse""], ""shifted_op_families"": [""partitioning"", ""permutation""], ""shifted_op_params"": [{""offset"": 1}, {}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""chisi""}",,
compositional_induction_string,iteration_duplicate,iteration,iteration_duplicate,iteration,easy,single_op_shift,True,0.875,0.5,0.0,1.0,1.0,0.875,0.5,1.0,1.0,1.0,1.0,0.65,"{""1"": [""tim mag mesho tim mag mesho""], ""2"": [""tim mag mesho mesho tim mag mesho mesho""], ""3"": [""tim mag mesho mesho tim mag mesho mesho""], ""4"": [""tim mag mesho mesho tim mag mesho mesho""], ""5"": [""tim mag mesho mesho tim mag mesho mesho""]}","{""1"": [""mag mesho mesho mag mag mesho mesho mag""], ""2"": [""mag mesho mesho mag mag mesho mesho mag""], ""3"": [""mag mesho mesho mag mesho mesho mag""], ""4"": [""mag mesho mesho mag mesho mesho mag""], ""5"": [""mag mesho mesho mag mag mesho mesho mag""]}","[""mag mesho mesho tim mag mag mag mesho mesho tim mag mag""]","[""tim mesho mag mesho mesho tim tim mesho mag mesho mesho tim""]","[{""inp"": ""mag mag tim mesho"", ""out"": ""mag mag tim mesho mag mag tim mesho""}, {""inp"": ""mesho mesho tim tim"", ""out"": ""mesho mesho tim tim mesho mesho tim tim""}, {""inp"": ""mesho mag mag mag"", ""out"": ""mesho mag mag mag mesho mag mag mag""}, {""inp"": ""tim mesho tim mesho"", ""out"": ""tim mesho tim mesho tim mesho tim mesho""}, {""inp"": ""mag mag mag mesho mag"", ""out"": ""mag mag mag mesho mag mag mag mag mesho mag""}]","[{""inp"": ""tim mag mesho mesho"", ""out"": ""tim mag mesho mesho tim mag mesho mesho""}]","[{""inp"": ""mag mesho mesho tim mag mag"", ""out"": ""mag mesho mesho tim mag mag mag mesho mesho tim mag mag""}]","[{""inp"": ""mag mesho mag mesho mag"", ""out"": ""mag mesho mag mesho mag mag mesho mag mesho mag""}, {""inp"": ""mesho tim mesho tim"", ""out"": ""mesho tim mesho tim mesho tim mesho tim""}, {""inp"": ""mesho mesho tim mag mag"", ""out"": ""mesho mesho tim mag mag mesho mesho tim mag mag""}, {""inp"": ""mesho mesho tim tim"", ""out"": ""mesho mesho tim tim mesho mesho tim tim""}, {""inp"": ""tim mesho tim mesho"", ""out"": ""tim mesho tim mesho tim mesho tim mesho""}]","[{""inp"": ""mag mesho mesho mag"", ""out"": ""mag mesho mesho mag mag mesho mesho mag""}]","[{""inp"": ""tim mesho mag mesho mesho tim"", ""out"": ""tim mesho mag mesho mesho tim tim mesho mag mesho mesho tim""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""iteration""], ""op_names"": [""iteration_duplicate""], ""op_families"": [""iteration""], ""op_params"": [{}], ""shifted_op_names"": [""iteration_duplicate""], ""shifted_op_families"": [""iteration""], ""shifted_op_params"": [{}], ""num_steps"": 1, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": ""mag mesho mesho mag mag mesho mesho mag""}",,
compositional_induction_string,extension_append_boundary_side_first -> iteration_duplicate,extension -> iteration,extension_append_boundary_side_first -> partitioning_by_offset_offset_1,extension -> partitioning,medium,single_op_shift,True,0.0,0.625,0.625,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.1875,"{""1"": [""shid shid chosi chosi shid""], ""2"": [""shid shid shid shid shid shid shid shid""], ""3"": [""shid shid nasno nasno chosi nasno nasno shid shid chosi""], ""4"": [""shid shid chosi nasno nasno chosi shid shid shid nasno nasno chosi""], ""5"": [""shid shid nasno nasno nasno nasno shid shid shid nasno nasno nasno nasno chosi""]}","{""1"": [""shid shid shid""], ""2"": [""chosi shid""], ""3"": [""chosi chosi""], ""4"": [""chosi chosi""], ""5"": [""chosi chosi""]}","[""chosi nasno nasno chosi nasno""]","[""nasno nasno""]","[{""inp"": ""nasno chosi chosi shid"", ""out"": ""nasno chosi chosi shid nasno nasno chosi chosi shid nasno""}, {""inp"": ""nasno nasno nasno"", ""out"": ""nasno nasno nasno nasno nasno nasno nasno nasno""}, {""inp"": ""nasno nasno chosi"", ""out"": ""nasno nasno chosi nasno nasno nasno chosi nasno""}, {""inp"": ""nasno chosi shid"", ""out"": ""nasno chosi shid nasno nasno chosi shid nasno""}, {""inp"": ""nasno nasno shid"", ""out"": ""nasno nasno shid nasno nasno nasno shid nasno""}]","[{""inp"": ""shid nasno nasno chosi"", ""out"": ""shid nasno nasno chosi shid shid nasno nasno chosi shid""}]","[{""inp"": ""chosi nasno"", ""out"": ""chosi nasno chosi chosi nasno chosi""}]","[{""inp"": ""shid chosi shid chosi"", ""out"": ""chosi chosi""}, {""inp"": ""shid chosi shid"", ""out"": ""chosi shid""}, {""inp"": ""nasno chosi chosi chosi"", ""out"": ""chosi chosi""}, {""inp"": ""shid nasno chosi chosi"", ""out"": ""nasno chosi""}, {""inp"": ""shid chosi nasno chosi"", ""out"": ""chosi chosi""}]","[{""inp"": ""chosi chosi chosi"", ""out"": ""chosi chosi""}]","[{""inp"": ""nasno nasno"", ""out"": ""nasno""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""partitioning"", ""iteration""], ""op_names"": [""extension_append_boundary_side_first"", ""iteration_duplicate""], ""op_families"": [""extension"", ""iteration""], ""op_params"": [{""side"": ""first""}, {}], ""shifted_op_names"": [""extension_append_boundary_side_first"", ""partitioning_by_offset_offset_1""], ""shifted_op_families"": [""extension"", ""partitioning""], ""shifted_op_params"": [{""side"": ""first""}, {""offset"": 1}], ""num_steps"": 2, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": ""chosi chosi chosi chosi chosi chosi chosi chosi""}",,
compositional_induction_string,extension_append_boundary_side_first -> reindexing_rotate_k_-1,extension -> reindexing,extension_append_boundary_side_first -> reindexing_rotate_k_-1,extension -> reindexing,hard,single_op_shift,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""zela chon gezi chon""], ""2"": [""zela chon gezi chon""], ""3"": [""chong gezi zela zela""], ""4"": [""zela chon gezi zela""], ""5"": [""zela chon gezi zela""]}","{""1"": [""gezi zela shov zela""], ""2"": [""gezi zela shov zela""], ""3"": [""gezi zela shov zela""], ""4"": [""gezi zela shov zela""], ""5"": [""gezi zela shov zela""]}","[""gezi chon shov chifte chon""]","[""shov zela gezi zela""]","[{""inp"": ""chon zela chifte"", ""out"": ""zela chifte chon chon""}, {""inp"": ""chon shov chifte"", ""out"": ""shov chifte chon chon""}, {""inp"": ""zela chon gezi"", ""out"": ""chon gezi zela zela""}, {""inp"": ""shov zela chon"", ""out"": ""zela chon shov shov""}, {""inp"": ""zela shov gezi"", ""out"": ""shov gezi zela zela""}]","[{""inp"": ""gezi chon zela"", ""out"": ""chon zela gezi gezi""}]","[{""inp"": ""chon gezi shov chifte"", ""out"": ""gezi shov chifte chon chon""}]","[{""inp"": ""zela shov gezi"", ""out"": ""shov gezi zela zela""}, {""inp"": ""chon shov chifte"", ""out"": ""shov chifte chon chon""}, {""inp"": ""gezi chifte shov"", ""out"": ""chifte shov gezi gezi""}, {""inp"": ""chon chifte zela"", ""out"": ""chifte zela chon chon""}, {""inp"": ""chifte shov gezi"", ""out"": ""shov gezi chifte chifte""}]","[{""inp"": ""shov gezi zela"", ""out"": ""gezi zela shov shov""}]","[{""inp"": ""gezi shov chifte zela"", ""out"": ""shov chifte zela gezi gezi""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""reindexing"", ""permutation"", ""iteration"", ""extension""], ""op_names"": [""extension_append_boundary_side_first"", ""reindexing_rotate_k_-1""], ""op_families"": [""extension"", ""reindexing""], ""op_params"": [{""side"": ""first""}, {""k"": -1}], ""shifted_op_names"": [""extension_append_boundary_side_first"", ""reindexing_rotate_k_-1""], ""shifted_op_families"": [""extension"", ""reindexing""], ""shifted_op_params"": [{""side"": ""first""}, {""k"": -1}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""gezi zela shov shov""}",,
compositional_induction_string,iteration_duplicate -> reindexing_rotate_k_1,iteration -> reindexing,iteration_duplicate -> iteration_duplicate,iteration -> iteration,hard,single_op_shift,True,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.15,"{""1"": [""zemku kego""], ""2"": [""kego dochne soku""], ""3"": [""soku dochne zemku""], ""4"": [""soku dochne zemku""], ""5"": [""soku dochne zemku""]}","{""1"": [""kego zemku""], ""2"": [""kego dochne zemku""], ""3"": [""kego dochne zemku kego dochne zemku kego dochne zemku kego dochne zemku""], ""4"": [""kego dochne zemku kego dochne zemku kego dochne zemku kego dochne zemku""], ""5"": [""kego dochne zemku kego dochne zemku kego dochne zemku kego dochne zemku kego dochne zemku""]}","[""dochne chus soku kego""]","[""kego soku dochne zemku kego soku dochne zemku kego soku dochne zemku kego soku dochne zemku kego soku dochne zemku""]","[{""inp"": ""zemku kego dochne"", ""out"": ""dochne zemku kego dochne zemku kego""}, {""inp"": ""dochne chus kego"", ""out"": ""kego dochne chus kego dochne chus""}, {""inp"": ""soku kego chus"", ""out"": ""chus soku kego chus soku kego""}, {""inp"": ""chus kego zemku"", ""out"": ""zemku chus kego zemku chus kego""}, {""inp"": ""zemku chus soku"", ""out"": ""soku zemku chus soku zemku chus""}]","[{""inp"": ""dochne zemku soku"", ""out"": ""soku dochne zemku soku dochne zemku""}]","[{""inp"": ""chus kego soku dochne"", ""out"": ""dochne chus kego soku dochne chus kego soku""}]","[{""inp"": ""zemku chus soku"", ""out"": ""zemku chus soku zemku chus soku zemku chus soku zemku chus soku""}, {""inp"": ""dochne soku zemku"", ""out"": ""dochne soku zemku dochne soku zemku dochne soku zemku dochne soku zemku""}, {""inp"": ""kego dochne chus"", ""out"": ""kego dochne chus kego dochne chus kego dochne chus kego dochne chus""}, {""inp"": ""chus soku zemku"", ""out"": ""chus soku zemku chus soku zemku chus soku zemku chus soku zemku""}, {""inp"": ""dochne chus kego"", ""out"": ""dochne chus kego dochne chus kego dochne chus kego dochne chus kego""}]","[{""inp"": ""kego dochne zemku"", ""out"": ""kego dochne zemku kego dochne zemku kego dochne zemku kego dochne zemku""}]","[{""inp"": ""kego soku dochne zemku"", ""out"": ""kego soku dochne zemku kego soku dochne zemku kego soku dochne zemku kego soku dochne zemku""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""permutation"", ""partitioning"", ""reindexing"", ""extension"", ""iteration""], ""op_names"": [""iteration_duplicate"", ""reindexing_rotate_k_1""], ""op_families"": [""iteration"", ""reindexing""], ""op_params"": [{}, {""k"": 1}], ""shifted_op_names"": [""iteration_duplicate"", ""iteration_duplicate""], ""shifted_op_families"": [""iteration"", ""iteration""], ""shifted_op_params"": [{}, {}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""zemku kego dochne zemku kego dochne""}",,
compositional_induction_string,extension_append_boundary_side_first,extension,permutation_reverse,permutation,easy,single_op_shift,True,0.875,0.0,0.0,0.0,1.0,0.875,0.0,1.0,0.0,1.0,0.0,0.35000000000000003,"{""1"": [""sile femta mume sile femta mume""], ""2"": [""femta mume sile mume mume femta""], ""3"": [""femta mume sile mume mume femta""], ""4"": [""femta mume sile mume mume femta""], ""5"": [""femta mume sile mume mume femta""]}","{""1"": [""femta femta femta femta femta femta""], ""2"": [""femta femta femta femta femta femta""], ""3"": [""femta femta femta femta femta femta""], ""4"": [""femta femta femta femta femta femta""], ""5"": [""femta femta femta femta femta femta""]}","[""mume mume sile sile femta sile femta mume""]","[""femta femta femta femta femta femta""]","[{""inp"": ""sile mume sile femta mume"", ""out"": ""sile mume sile femta mume sile""}, {""inp"": ""sile sile mume femta mume"", ""out"": ""sile sile mume femta mume sile""}, {""inp"": ""sile femta femta sile"", ""out"": ""sile femta femta sile sile""}, {""inp"": ""sile mume sile femta"", ""out"": ""sile mume sile femta sile""}, {""inp"": ""femta femta sile mume"", ""out"": ""femta femta sile mume femta""}]","[{""inp"": ""femta mume sile mume mume"", ""out"": ""femta mume sile mume mume femta""}]","[{""inp"": ""mume mume sile sile femta sile femta"", ""out"": ""mume mume sile sile femta sile femta mume""}]","[{""inp"": ""femta mume sile femta mume"", ""out"": ""mume femta sile mume femta""}, {""inp"": ""femta mume mume femta"", ""out"": ""femta mume mume femta""}, {""inp"": ""sile femta femta sile"", ""out"": ""sile femta femta sile""}, {""inp"": ""femta sile sile mume mume"", ""out"": ""mume mume sile sile femta""}, {""inp"": ""mume mume sile sile"", ""out"": ""sile sile mume mume""}]","[{""inp"": ""femta femta femta femta femta"", ""out"": ""femta femta femta femta femta""}]","[{""inp"": ""femta femta sile sile sile sile femta"", ""out"": ""femta sile sile sile sile femta femta""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""permutation""], ""op_names"": [""extension_append_boundary_side_first""], ""op_families"": [""extension""], ""op_params"": [{""side"": ""first""}], ""shifted_op_names"": [""permutation_reverse""], ""shifted_op_families"": [""permutation""], ""shifted_op_params"": [{}], ""num_steps"": 1, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": ""femta femta femta femta femta femta""}",,
compositional_induction_string,iteration_duplicate -> partitioning_by_offset_offset_1,iteration -> partitioning,reindexing_rotate_k_-1 -> partitioning_by_offset_offset_1,reindexing -> partitioning,hard,single_op_shift,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,"{""1"": [""kusko shupa mobo""], ""2"": [""kusko shupa mobo""], ""3"": [""kusko shupa mobo""], ""4"": [""kusko shupa mobo""], ""5"": [""kusko shupa mobo""]}","{""1"": [""ralo mobo lopgu""], ""2"": [""ralo mobo lopgu""], ""3"": [""ralo mobo lopgu""], ""4"": [""ralo mobo lopgu""], ""5"": [""ralo mobo lopgu""]}","[""ralo shupa lopgu mobo kusko""]","[""ralo lopgu mobo kusko shupa""]","[{""inp"": ""ralo kusko mobo"", ""out"": ""kusko ralo mobo""}, {""inp"": ""lopgu kusko mobo"", ""out"": ""kusko lopgu mobo""}, {""inp"": ""lopgu kusko ralo"", ""out"": ""kusko lopgu ralo""}, {""inp"": ""lopgu ralo shupa"", ""out"": ""ralo lopgu shupa""}, {""inp"": ""ralo kusko shupa"", ""out"": ""kusko ralo shupa""}]","[{""inp"": ""shupa kusko mobo"", ""out"": ""kusko shupa mobo""}]","[{""inp"": ""shupa ralo lopgu mobo kusko"", ""out"": ""ralo mobo shupa lopgu kusko""}]","[{""inp"": ""lopgu shupa kusko"", ""out"": ""kusko""}, {""inp"": ""lopgu mobo shupa"", ""out"": ""shupa""}, {""inp"": ""shupa kusko ralo"", ""out"": ""ralo""}, {""inp"": ""shupa lopgu ralo"", ""out"": ""ralo""}, {""inp"": ""kusko mobo ralo"", ""out"": ""ralo""}]","[{""inp"": ""mobo ralo lopgu"", ""out"": ""lopgu""}]","[{""inp"": ""lopgu shupa ralo kusko mobo"", ""out"": ""ralo mobo""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""reindexing"", ""iteration"", ""permutation"", ""extension""], ""op_names"": [""iteration_duplicate"", ""partitioning_by_offset_offset_1""], ""op_families"": [""iteration"", ""partitioning""], ""op_params"": [{}, {""offset"": 1}], ""shifted_op_names"": [""reindexing_rotate_k_-1"", ""partitioning_by_offset_offset_1""], ""shifted_op_families"": [""reindexing"", ""partitioning""], ""shifted_op_params"": [{""k"": -1}, {""offset"": 1}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""ralo mobo lopgu""}",,
compositional_induction_string,extension_append_boundary_side_first -> iteration_duplicate,extension -> iteration,reindexing_rotate_k_1 -> iteration_duplicate,reindexing -> iteration,medium,single_op_shift,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""domka domka kama kama""], ""2"": [""domka domka kama vikne domka domka kama vikne""], ""3"": [""domka domka kama vikne domka domka kama vikne""], ""4"": [""domka domka kama vikne domka domka kama vikne""], ""5"": [""domka domka kama vikne domka domka kama vikne""]}","{""1"": [""vikne domka kama vikne domka kama""], ""2"": [""vikne domka kama vikne domka kama""], ""3"": [""vikne domka kama domka vikne domka kama""], ""4"": [""vikne domka kama vikne domka kama""], ""5"": [""vikne domka kama vikne domka kama""]}","[""domka domka kama domka domka kama""]","[""kama domka kama domka""]","[{""inp"": ""domka kama kama"", ""out"": ""domka kama kama domka domka kama kama domka""}, {""inp"": ""domka kama vikne"", ""out"": ""domka kama vikne domka domka kama vikne domka""}, {""inp"": ""domka vikne domka kama"", ""out"": ""domka vikne domka kama domka domka vikne domka kama domka""}, {""inp"": ""domka kama vikne kama"", ""out"": ""domka kama vikne kama domka domka kama vikne kama domka""}, {""inp"": ""kama domka kama"", ""out"": ""kama domka kama kama kama domka kama kama""}]","[{""inp"": ""domka kama kama vikne"", ""out"": ""domka kama kama vikne domka domka kama kama vikne domka""}]","[{""inp"": ""domka kama"", ""out"": ""domka kama domka domka kama domka""}]","[{""inp"": ""domka kama vikne"", ""out"": ""vikne domka kama vikne domka kama""}, {""inp"": ""kama vikne domka"", ""out"": ""domka kama vikne domka kama vikne""}, {""inp"": ""vikne kama kama domka"", ""out"": ""domka vikne kama kama domka vikne kama kama""}, {""inp"": ""kama domka kama vikne"", ""out"": ""vikne kama domka kama vikne kama domka kama""}, {""inp"": ""vikne domka domka domka"", ""out"": ""domka vikne domka domka domka vikne domka domka""}]","[{""inp"": ""domka kama domka"", ""out"": ""domka domka kama domka domka kama""}]","[{""inp"": ""kama kama"", ""out"": ""kama kama kama kama""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""iteration"", ""extension"", ""reindexing""], ""op_names"": [""extension_append_boundary_side_first"", ""iteration_duplicate""], ""op_families"": [""extension"", ""iteration""], ""op_params"": [{""side"": ""first""}, {}], ""shifted_op_names"": [""reindexing_rotate_k_1"", ""iteration_duplicate""], ""shifted_op_families"": [""reindexing"", ""iteration""], ""shifted_op_params"": [{""k"": 1}, {}], ""num_steps"": 2, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": ""domka kama domka domka domka kama domka domka""}",,
compositional_induction_string,partitioning_by_offset_offset_1 -> iteration_duplicate,partitioning -> iteration,iteration_duplicate -> iteration_duplicate,iteration -> iteration,hard,single_op_shift,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""kutvi kuvo losa -> div""], ""2"": [""div div""], ""3"": [""kuvo kuvo""], ""4"": [""div div""], ""5"": [""kuvo kuvo""]}","{""1"": [""sama div kuvo""], ""2"": [""sama kuvo div""], ""3"": [""sama kuvo div""], ""4"": [""sama kuvo div""], ""5"": [""sama kuvo div""]}","[""div kuvo""]","[""losa kutvi sama kuvo""]","[{""inp"": ""losa div kutvi"", ""out"": ""div div""}, {""inp"": ""sama kuvo div"", ""out"": ""kuvo kuvo""}, {""inp"": ""kutvi losa sama"", ""out"": ""losa losa""}, {""inp"": ""div sama kutvi"", ""out"": ""sama sama""}, {""inp"": ""kutvi sama div"", ""out"": ""sama sama""}]","[{""inp"": ""kutvi losa kuvo"", ""out"": ""losa losa""}]","[{""inp"": ""div kutvi sama kuvo"", ""out"": ""kutvi kuvo kutvi kuvo""}]","[{""inp"": ""kutvi div kuvo"", ""out"": ""kutvi div kuvo kutvi div kuvo kutvi div kuvo kutvi div kuvo""}, {""inp"": ""losa kutvi sama"", ""out"": ""losa kutvi sama losa kutvi sama losa kutvi sama losa kutvi sama""}, {""inp"": ""kutvi div sama"", ""out"": ""kutvi div sama kutvi div sama kutvi div sama kutvi div sama""}, {""inp"": ""kuvo sama losa"", ""out"": ""kuvo sama losa kuvo sama losa kuvo sama losa kuvo sama losa""}, {""inp"": ""kutvi kuvo sama"", ""out"": ""kutvi kuvo sama kutvi kuvo sama kutvi kuvo sama kutvi kuvo sama""}]","[{""inp"": ""sama kuvo div"", ""out"": ""sama kuvo div sama kuvo div sama kuvo div sama kuvo div""}]","[{""inp"": ""losa kutvi sama kuvo"", ""out"": ""losa kutvi sama kuvo losa kutvi sama kuvo losa kutvi sama kuvo losa kutvi sama kuvo""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""reindexing"", ""partitioning"", ""extension"", ""permutation"", ""iteration""], ""op_names"": [""partitioning_by_offset_offset_1"", ""iteration_duplicate""], ""op_families"": [""partitioning"", ""iteration""], ""op_params"": [{""offset"": 1}, {}], ""shifted_op_names"": [""iteration_duplicate"", ""iteration_duplicate""], ""shifted_op_families"": [""iteration"", ""iteration""], ""shifted_op_params"": [{}, {}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""kuvo kuvo""}",,
