task_name,difficulty,shift_type,template,template_family,template_params,shifted_template,shifted_template_family,shifted_template_params,candidate_rule_count,size_constraints,module_design,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,final_score,pred_pre,pred_post,pred_pre_probe,pred_post_probe,pre_interaction_trace,post_interaction_trace,error_type,error_message
feedback_exploration_grid,medium,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""sash"", ""sash""], [""nefsi"", ""sash""], [""sash"", ""sash""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['sash', 'sash'], ['nefsi', 'sash'], ['sash', 'sash']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""kizcho""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['kizcho']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,easy,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""mesho""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['mesho']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,medium,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""nasno""], [""sir""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['nasno'], ['sir']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,"{""1"": ""Op_1"", ""2"": ""Op_1"", ""3"": ""Op_1"", ""4"": ""Op_1"", ""5"": ""Op_1""}",,"""[]""",,"[{""round"": 1, ""raw_answer"": ""1"", ""parsed_choice"": 1, ""chosen_op"": ""Op_1"", ""chosen_output"": ""[[], []]"", ""feedback"": ""Correct."", ""correct"": true, ""score"": 1.0, ""soft_score"": 1.0}]",,ResponseParsingError,"Post-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""shov""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['shov']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""dochne""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['dochne']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,easy,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""mume"", ""femta""], [""mume"", ""femta""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['mume', 'femta'], ['mume', 'femta']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[0, 0, 0, 0], [0, ""shupa"", ""ralo"", 0], [0, ""lopgu"", ""shupa"", 0], [0, ""ralo"", ""mobo"", 0], [0, 0, 0, 0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [[0, 0, 0, 0], [0, 'shupa', 'ralo', 0], [0, 'lopgu', 'shupa', 0], [0, 'ralo', 'mobo', 0], [0, 0, 0, 0]], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,medium,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""vikne"", ""vikne"", ""domka"", ""kama"", ""domka""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['vikne', 'vikne', 'domka', 'kama', 'domka']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
feedback_exploration_grid,hard,full_rule_remap,,,,,,,,,interaction_plus_probe,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answer"": [[""div"", ""losa"", ""div"", ""kutvi"", ""sama""], [""sama"", ""div"", ""losa"", ""div"", ""kutvi""], [""kutvi"", ""sama"", ""div"", ""losa"", ""div""], [""losa"", ""div"", ""kutvi"", ""sama"", ""div""], [""div"", ""kutvi"", ""sama"", ""div"", ""losa""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answer"": {
      ""title"": ""Answer"",
      ""type"": ""string""
    }
  },
  ""required"": [
    ""answer""
  ],
  ""title"": ""SingleAnswerSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answer',), 'msg': 'Input should be a valid string', 'input': [['div', 'losa', 'div', 'kutvi', 'sama'], ['sama', 'div', 'losa', 'div', 'kutvi'], ['kutvi', 'sama', 'div', 'losa', 'div'], ['losa', 'div', 'kutvi', 'sama', 'div'], ['div', 'kutvi', 'sama', 'div', 'losa']], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
