task_name,rule,rule_family,difficulty,shift_type,schema_success,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,final_score,pred_pre_json,pred_post_json,pred_pre_probe_json,pred_post_probe_json,support_pool_json,queries_json,probes_json,post_support_pool_json,post_queries_json,post_probes_json,metadata_json,error_type,error_message
symbolic_binding_number,iteration_duplicate,iteration,medium,full_rule_remap,True,0.625,1.0,1.0,1.0,0.0,0.625,1.0,1.0,1.0,1.0,1.0,0.8500000000000001,"{""1"": [""0 1 0 1 0 1""], ""2"": [""0 1 0 1 0 1""], ""3"": [""0 1 0 1 0 1 0 1""], ""4"": [""0 1 0 1 0 1 0 1""], ""5"": [""0 1 0 1 0 1 0 1""]}","{""1"": [""2""], ""2"": [""2""], ""3"": [""2""], ""4"": [""2""], ""5"": [""2""]}","[""2 2 2 2""]","[""0""]","[{""inp"": ""3 0 1"", ""out"": ""3 0 1 3 0 1""}, {""inp"": ""1 0 2"", ""out"": ""1 0 2 1 0 2""}, {""inp"": ""1 2 1 1"", ""out"": ""1 2 1 1 1 2 1 1""}, {""inp"": ""3 1 2 0"", ""out"": ""3 1 2 0 3 1 2 0""}, {""inp"": ""0 0 0 1"", ""out"": ""0 0 0 1 0 0 0 1""}]","[{""inp"": ""0 1 0 1"", ""out"": ""0 1 0 1 0 1 0 1""}]","[{""inp"": ""2 2"", ""out"": ""2 2 2 2""}]","[{""inp"": ""0 3 3 3"", ""out"": ""3 3""}, {""inp"": ""0 2 0 1"", ""out"": ""2 1""}, {""inp"": ""2 0 3"", ""out"": ""0""}, {""inp"": ""3 0 1 2"", ""out"": ""0 2""}, {""inp"": ""0 0 0"", ""out"": ""0""}]","[{""inp"": ""0 2 0"", ""out"": ""2""}]","[{""inp"": ""1 0"", ""out"": ""0""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""partitioning"", ""permutation"", ""iteration""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""partitioning_by_offset_offset_1"", ""shifted_template_family"": ""partitioning"", ""shifted_template_params"": {""offset"": 1}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,partitioning_by_offset_offset_1,partitioning,hard,full_rule_remap,True,0.375,1.0,1.0,1.0,0.0,0.375,1.0,0.0,1.0,0.0,1.0,0.75,"{""1"": [""3""], ""2"": [""3""], ""3"": [""3""], ""4"": [""0""], ""5"": [""0""]}","{""1"": [""0 4 3 3""], ""2"": [""0 4 3 3""], ""3"": [""0 4 3 3""], ""4"": [""0 4 3 3""], ""5"": [""0 4 3 3""]}","[""0""]","[""3 1 0 4 2 2""]","[{""inp"": ""0 3 2"", ""out"": ""3""}, {""inp"": ""0 4"", ""out"": ""4""}, {""inp"": ""0 4 2"", ""out"": ""4""}, {""inp"": ""1 0 2"", ""out"": ""0""}, {""inp"": ""4 2 3"", ""out"": ""2""}]","[{""inp"": ""3 0"", ""out"": ""0""}]","[{""inp"": ""2 0 3 1 4"", ""out"": ""0 1""}]","[{""inp"": ""3 4 0"", ""out"": ""3 4 0 0""}, {""inp"": ""4 3"", ""out"": ""4 3 3""}, {""inp"": ""3 0 1"", ""out"": ""3 0 1 1""}, {""inp"": ""1 0 4"", ""out"": ""1 0 4 4""}, {""inp"": ""4 0"", ""out"": ""4 0 0""}]","[{""inp"": ""0 4 3"", ""out"": ""0 4 3 3""}]","[{""inp"": ""3 1 0 4 2"", ""out"": ""3 1 0 4 2 2""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""iteration"", ""extension"", ""permutation"", ""reindexing""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,partitioning_by_offset_offset_1,partitioning,medium,full_rule_remap,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,"{""1"": [""1 3""], ""2"": [""3""], ""3"": [""3""], ""4"": [""3""], ""5"": [""1 3""]}","{""1"": [""3 2 0 1 3 2 0 1""], ""2"": [""3 2 0 1 3 2 0 1""], ""3"": [""3 2 0 1 3 2 0 1""], ""4"": [""3 2 0 1 3 2 0 1""], ""5"": [""3 2 0 1 3 2 0 1""]}","[""0""]","[""3 0 3 0""]","[{""inp"": ""2 2 0 1"", ""out"": ""2 1""}, {""inp"": ""2 1 3"", ""out"": ""1""}, {""inp"": ""0 3 1"", ""out"": ""3""}, {""inp"": ""1 3 0"", ""out"": ""3""}, {""inp"": ""2 2 3 3"", ""out"": ""2 3""}]","[{""inp"": ""1 3 0 3"", ""out"": ""3 3""}]","[{""inp"": ""0 0"", ""out"": ""0""}]","[{""inp"": ""2 3 2"", ""out"": ""2 3 2 2 3 2""}, {""inp"": ""3 1 3 2"", ""out"": ""3 1 3 2 3 1 3 2""}, {""inp"": ""1 2 3 2"", ""out"": ""1 2 3 2 1 2 3 2""}, {""inp"": ""2 1 2"", ""out"": ""2 1 2 2 1 2""}, {""inp"": ""0 3 2 0"", ""out"": ""0 3 2 0 0 3 2 0""}]","[{""inp"": ""3 2 0 1"", ""out"": ""3 2 0 1 3 2 0 1""}]","[{""inp"": ""3 0"", ""out"": ""3 0 3 0""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""extension"", ""partitioning"", ""iteration"", ""permutation""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,partitioning_by_offset_offset_1,partitioning,hard,full_rule_remap,True,0.125,1.0,1.0,1.0,0.0,0.125,1.0,0.0,1.0,0.0,1.0,0.6499999999999999,"{""1"": [""1""], ""2"": [""1""], ""3"": [""1""], ""4"": [""1""], ""5"": [""0""]}","{""1"": [""3 2""], ""2"": [""3 2""], ""3"": [""3 2""], ""4"": [""3 2""], ""5"": [""3 2""]}","[""2""]","[""1 3 4 0""]","[{""inp"": ""4 3 2"", ""out"": ""3""}, {""inp"": ""3 0"", ""out"": ""0""}, {""inp"": ""2 1 4"", ""out"": ""1""}, {""inp"": ""4 2 0"", ""out"": ""2""}, {""inp"": ""1 0 2"", ""out"": ""0""}]","[{""inp"": ""2 0 1"", ""out"": ""0""}]","[{""inp"": ""3 2 1 0"", ""out"": ""2 0""}]","[{""inp"": ""1 4"", ""out"": ""4 1""}, {""inp"": ""2 1"", ""out"": ""1 2""}, {""inp"": ""2 4 0"", ""out"": ""0 4 2""}, {""inp"": ""2 1 0"", ""out"": ""0 1 2""}, {""inp"": ""3 0 4"", ""out"": ""4 0 3""}]","[{""inp"": ""2 3"", ""out"": ""3 2""}]","[{""inp"": ""0 4 3 1"", ""out"": ""1 3 4 0""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""reindexing"", ""partitioning"", ""extension"", ""permutation"", ""iteration""], ""template"": ""partitioning_by_offset_offset_1"", ""template_family"": ""partitioning"", ""template_params"": {""offset"": 1}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,extension_append_boundary_side_last,extension,medium,full_rule_remap,True,0.875,1.0,1.0,1.0,0.0,0.875,1.0,1.0,1.0,1.0,1.0,0.95,"{""1"": [""3 3 0 3""], ""2"": [""3 3 0 0""], ""3"": [""3 3 0 0""], ""4"": [""3 3 0 0""], ""5"": [""3 3 0 0""]}","{""1"": [""2 0 2 3""], ""2"": [""2 0 2 3""], ""3"": [""2 0 2 3""], ""4"": [""2 0 2 3""], ""5"": [""2 0 2 3""]}","[""2 2 3 3 3 3""]","[""3 2 3 0 0""]","[{""inp"": ""2 2 3 2"", ""out"": ""2 2 3 2 2""}, {""inp"": ""1 0 2 0"", ""out"": ""1 0 2 0 0""}, {""inp"": ""0 3 2"", ""out"": ""0 3 2 2""}, {""inp"": ""0 1 1"", ""out"": ""0 1 1 1""}, {""inp"": ""3 2 2 2"", ""out"": ""3 2 2 2 2""}]","[{""inp"": ""3 3 0"", ""out"": ""3 3 0 0""}]","[{""inp"": ""2 2 3 3 3"", ""out"": ""2 2 3 3 3 3""}]","[{""inp"": ""3 1 1"", ""out"": ""1 1 3""}, {""inp"": ""1 2 0 1"", ""out"": ""1 0 2 1""}, {""inp"": ""1 2 1"", ""out"": ""1 2 1""}, {""inp"": ""0 3 3"", ""out"": ""3 3 0""}, {""inp"": ""3 3 0 2"", ""out"": ""2 0 3 3""}]","[{""inp"": ""3 2 0 2"", ""out"": ""2 0 2 3""}]","[{""inp"": ""0 0 3 2 3"", ""out"": ""3 2 3 0 0""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""partitioning"", ""extension"", ""permutation"", ""iteration""], ""template"": ""extension_append_boundary_side_last"", ""template_family"": ""extension"", ""template_params"": {""side"": ""last""}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,permutation_reverse,permutation,hard,full_rule_remap,True,1.0,0.875,0.875,1.0,0.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9625000000000001,"{""1"": [""0 4 1""], ""2"": [""0 4 1""], ""3"": [""0 4 1""], ""4"": [""0 4 1""], ""5"": [""0 4 1""]}","{""1"": [""4 0 1 0 1""], ""2"": [""4 0 1 1""], ""3"": [""4 0 1 1""], ""4"": [""4 0 1 1""], ""5"": [""4 0 1 1""]}","[""0""]","[""1 1""]","[{""inp"": ""2 4 3"", ""out"": ""3 4 2""}, {""inp"": ""4 0 1"", ""out"": ""1 0 4""}, {""inp"": ""4 2 3"", ""out"": ""3 2 4""}, {""inp"": ""3 2"", ""out"": ""2 3""}, {""inp"": ""2 0 4"", ""out"": ""4 0 2""}]","[{""inp"": ""1 4 0"", ""out"": ""0 4 1""}]","[{""inp"": ""0"", ""out"": ""0""}]","[{""inp"": ""0 2"", ""out"": ""0 2 2""}, {""inp"": ""3 2 4"", ""out"": ""3 2 4 4""}, {""inp"": ""3 2"", ""out"": ""3 2 2""}, {""inp"": ""0 1"", ""out"": ""0 1 1""}, {""inp"": ""4 1"", ""out"": ""4 1 1""}]","[{""inp"": ""4 0 1"", ""out"": ""4 0 1 1""}]","[{""inp"": ""1"", ""out"": ""1 1""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""extension"", ""permutation"", ""partitioning"", ""iteration"", ""reindexing""], ""template"": ""permutation_reverse"", ""template_family"": ""permutation"", ""template_params"": {}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,extension_append_boundary_side_last,extension,easy,full_rule_remap,True,0.875,1.0,1.0,1.0,0.0,0.875,1.0,1.0,1.0,1.0,1.0,0.95,"{""1"": [""0 2 2 0 2""], ""2"": [""0 2 2 0 2 2""], ""3"": [""0 2 2 0 2 2""], ""4"": [""0 2 2 0 2 2""], ""5"": [""0 2 2 0 2 2""]}","{""1"": [""2 1 0 0 0 2 1 0 0 0""], ""2"": [""2 1 0 0 0 2 1 0 0 0""], ""3"": [""2 1 0 0 0 2 1 0 0 0""], ""4"": [""2 1 0 0 0 2 1 0 0 0""], ""5"": [""2 1 0 0 0 2 1 0 0 0""]}","[""0 0 2 2 2 2 1 1""]","[""2 0 2 2 0 2 1 2 0 2 2 0 2 1""]","[{""inp"": ""1 1 0 0 2"", ""out"": ""1 1 0 0 2 2""}, {""inp"": ""0 2 1 1 1"", ""out"": ""0 2 1 1 1 1""}, {""inp"": ""0 2 2 1"", ""out"": ""0 2 2 1 1""}, {""inp"": ""2 1 1 0 0"", ""out"": ""2 1 1 0 0 0""}, {""inp"": ""2 1 0 1 2"", ""out"": ""2 1 0 1 2 2""}]","[{""inp"": ""0 2 2 0 2"", ""out"": ""0 2 2 0 2 2""}]","[{""inp"": ""0 0 2 2 2 2 1"", ""out"": ""0 0 2 2 2 2 1 1""}]","[{""inp"": ""0 2 1 2 0"", ""out"": ""0 2 1 2 0 0 2 1 2 0""}, {""inp"": ""0 0 0 0 0"", ""out"": ""0 0 0 0 0 0 0 0 0 0""}, {""inp"": ""2 2 0 1 0"", ""out"": ""2 2 0 1 0 2 2 0 1 0""}, {""inp"": ""2 1 0 0"", ""out"": ""2 1 0 0 2 1 0 0""}, {""inp"": ""1 1 2 0"", ""out"": ""1 1 2 0 1 1 2 0""}]","[{""inp"": ""2 1 0 0 0"", ""out"": ""2 1 0 0 0 2 1 0 0 0""}]","[{""inp"": ""2 0 2 2 0 2 1"", ""out"": ""2 0 2 2 0 2 1 2 0 2 2 0 2 1""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""iteration"", ""extension""], ""template"": ""extension_append_boundary_side_last"", ""template_family"": ""extension"", ""template_params"": {""side"": ""last""}, ""shifted_template"": ""iteration_duplicate"", ""shifted_template_family"": ""iteration"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,reindexing_rotate_k_-1,reindexing,medium,full_rule_remap,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,"{""1"": [""0 2 1""], ""2"": [""0 1 2""], ""3"": [""0 1 2""], ""4"": [""1 0 2""], ""5"": [""1 0 2""]}","{""1"": [""2 3 3 3""], ""2"": [""2 3 3 3""], ""3"": [""2 3 3 3""], ""4"": [""2 3 3 3""], ""5"": [""2 3 3 3""]}","[""3 3""]","[""3 3 3""]","[{""inp"": ""2 2 2"", ""out"": ""2 2 2""}, {""inp"": ""2 0 0 2"", ""out"": ""0 0 2 2""}, {""inp"": ""0 0 1"", ""out"": ""0 1 0""}, {""inp"": ""2 1 0"", ""out"": ""1 0 2""}, {""inp"": ""0 0 0"", ""out"": ""0 0 0""}]","[{""inp"": ""0 2 1"", ""out"": ""2 1 0""}]","[{""inp"": ""3 3"", ""out"": ""3 3""}]","[{""inp"": ""3 3 2 1"", ""out"": ""3 3 2 1 1""}, {""inp"": ""1 0 2 0"", ""out"": ""1 0 2 0 0""}, {""inp"": ""2 2 3 0"", ""out"": ""2 2 3 0 0""}, {""inp"": ""2 0 1"", ""out"": ""2 0 1 1""}, {""inp"": ""3 0 3 0"", ""out"": ""3 0 3 0 0""}]","[{""inp"": ""2 3 3"", ""out"": ""2 3 3 3""}]","[{""inp"": ""3 3"", ""out"": ""3 3 3""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 4, ""candidate_template_names"": [""permutation"", ""iteration"", ""reindexing"", ""extension""], ""template"": ""reindexing_rotate_k_-1"", ""template_family"": ""reindexing"", ""template_params"": {""k"": -1}, ""shifted_template"": ""extension_append_boundary_side_last"", ""shifted_template_family"": ""extension"", ""shifted_template_params"": {""side"": ""last""}, ""has_distractors"": false, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,extension_append_boundary_side_last,extension,easy,full_rule_remap,True,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4,"{""1"": [""0 2 2 1 0 0""], ""2"": [""0 2 2 1 0 0""], ""3"": [""0 2 2 1 0 0""], ""4"": [""0 2 2 1 0 0""], ""5"": [""0 2 2 1 0 0""]}","{""1"": [""1 0""], ""2"": [""1 1""], ""3"": [""1 1""], ""4"": [""1 1""], ""5"": [""1 1""]}","[""2 1 2 2""]","[""2 2""]","[{""inp"": ""2 2 1 1"", ""out"": ""2 2 1 1 1""}, {""inp"": ""1 2 1 0"", ""out"": ""1 2 1 0 0""}, {""inp"": ""1 2 2 0 1"", ""out"": ""1 2 2 0 1 1""}, {""inp"": ""0 2 1 0 0"", ""out"": ""0 2 1 0 0 0""}, {""inp"": ""1 0 1 1 1"", ""out"": ""1 0 1 1 1 1""}]","[{""inp"": ""0 2 2 1 0"", ""out"": ""0 2 2 1 0 0""}]","[{""inp"": ""2 1 2"", ""out"": ""2 1 2 2""}]","[{""inp"": ""1 1 2 0 0"", ""out"": ""1 0""}, {""inp"": ""0 1 0 1 0"", ""out"": ""1 1""}, {""inp"": ""0 0 0 2"", ""out"": ""0 2""}, {""inp"": ""1 1 1 1 0"", ""out"": ""1 1""}, {""inp"": ""0 2 2 2 0"", ""out"": ""2 2""}]","[{""inp"": ""1 2 1 1"", ""out"": ""2 1""}]","[{""inp"": ""2 1 2"", ""out"": ""1""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""partitioning""], ""template"": ""extension_append_boundary_side_last"", ""template_family"": ""extension"", ""template_params"": {""side"": ""last""}, ""shifted_template"": ""partitioning_by_offset_offset_1"", ""shifted_template_family"": ""partitioning"", ""shifted_template_params"": {""offset"": 1}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
symbolic_binding_number,iteration_duplicate,iteration,easy,full_rule_remap,True,1.0,0.875,0.875,1.0,0.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9625000000000001,"{""1"": [""0 2 1 2 2 0 2 1 2 2""], ""2"": [""0 2 1 2 2 0 2 1 2 2""], ""3"": [""0 2 1 2 2 0 2 1 2 2""], ""4"": [""0 2 1 2 2 0 2 1 2 2""], ""5"": [""0 2 1 2 2 0 2 1 2 2""]}","{""1"": [""0 1 2 0 0""], ""2"": [""1 0 2 0 0""], ""3"": [""1 0 2 0 0""], ""4"": [""1 0 2 0 0""], ""5"": [""1 0 2 0 0""]}","[""1 2 1 1 2 1""]","[""1 1 1""]","[{""inp"": ""1 1 1 1 2"", ""out"": ""1 1 1 1 2 1 1 1 1 2""}, {""inp"": ""0 0 0 0 0"", ""out"": ""0 0 0 0 0 0 0 0 0 0""}, {""inp"": ""2 2 1 2 1"", ""out"": ""2 2 1 2 1 2 2 1 2 1""}, {""inp"": ""1 0 2 0"", ""out"": ""1 0 2 0 1 0 2 0""}, {""inp"": ""0 1 0 2 2"", ""out"": ""0 1 0 2 2 0 1 0 2 2""}]","[{""inp"": ""0 2 1 2 2"", ""out"": ""0 2 1 2 2 0 2 1 2 2""}]","[{""inp"": ""1 2 1"", ""out"": ""1 2 1 1 2 1""}]","[{""inp"": ""0 1 2 0"", ""out"": ""0 2 1 0""}, {""inp"": ""1 2 2 1 2"", ""out"": ""2 1 2 2 1""}, {""inp"": ""1 2 1 1"", ""out"": ""1 1 2 1""}, {""inp"": ""2 1 1 0 2"", ""out"": ""2 0 1 1 2""}, {""inp"": ""2 2 2 2"", ""out"": ""2 2 2 2""}]","[{""inp"": ""0 0 2 0 1"", ""out"": ""1 0 2 0 0""}]","[{""inp"": ""1 1 1"", ""out"": ""1 1 1""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""iteration"", ""permutation""], ""template"": ""iteration_duplicate"", ""template_family"": ""iteration"", ""template_params"": {}, ""shifted_template"": ""permutation_reverse"", ""shifted_template_family"": ""permutation"", ""shifted_template_params"": {}, ""has_distractors"": false, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": null}",,
