task_name,chain,chain_families,shifted_chain,shifted_chain_families,difficulty,shift_type,schema_success,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,final_score,pred_pre_json,pred_post_json,pred_pre_probe_json,pred_post_probe_json,support_pool_json,queries_json,probes_json,post_support_pool_json,post_queries_json,post_probes_json,metadata_json,error_type,error_message
compositional_induction_string,permutation_reverse -> extension_append_boundary_side_last,permutation -> extension,permutation_reverse -> extension_append_boundary_side_first,permutation -> extension,medium,single_op_shift,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""lode"", ""lode"", ""nefsi"", ""lode""], ""2"": [""fide"", ""nefsi"", ""fide"", ""nefsi"", ""nefsi""], ""3"": [""fide"", ""fide"", ""nefsi"", ""nefsi""], ""4"": [""lode"", ""lode"", ""fide"", ""fide""], ""5"": [""nefsi"", ""lode"", ""fide"", ""fide""]}","{""1"": [""fide"", ""nefsi"", ""nefsi"", ""fide"", ""nefsi""], ""2"": [""nefsi"", ""nefsi"", ""fide"", ""nefsi""], ""3"": [""lode"", ""fide"", ""lode"", ""lode""], ""4"": [""nefsi"", ""nefsi"", ""nefsi"", ""fide"", ""nefsi""], ""5"": [""nefsi"", ""nefsi"", ""nefsi"", ""fide"", ""nefsi""]}","[""nefsi"", ""fide""]","[""fide"", ""lode""]","[{""inp"": ""fide fide fide"", ""out"": ""fide fide fide fide""}, {""inp"": ""nefsi fide nefsi fide"", ""out"": ""fide nefsi fide nefsi nefsi""}, {""inp"": ""nefsi fide fide"", ""out"": ""fide fide nefsi nefsi""}, {""inp"": ""fide lode lode"", ""out"": ""lode lode fide fide""}, {""inp"": ""fide lode nefsi"", ""out"": ""nefsi lode fide fide""}]","[{""inp"": ""lode lode nefsi"", ""out"": ""nefsi lode lode lode""}]","[{""inp"": ""lode nefsi"", ""out"": ""nefsi lode lode""}]","[{""inp"": ""nefsi lode fide"", ""out"": ""fide lode nefsi fide""}, {""inp"": ""fide nefsi nefsi"", ""out"": ""nefsi nefsi fide nefsi""}, {""inp"": ""lode fide lode"", ""out"": ""lode fide lode lode""}, {""inp"": ""lode lode nefsi lode"", ""out"": ""lode nefsi lode lode lode""}, {""inp"": ""lode lode fide nefsi"", ""out"": ""nefsi fide lode lode nefsi""}]","[{""inp"": ""nefsi nefsi nefsi fide"", ""out"": ""fide nefsi nefsi nefsi fide""}]","[{""inp"": ""lode fide"", ""out"": ""fide lode fide""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""partitioning"", ""permutation""], ""op_names"": [""permutation_reverse"", ""extension_append_boundary_side_last""], ""op_families"": [""permutation"", ""extension""], ""op_params"": [{}, {""side"": ""last""}], ""shifted_op_names"": [""permutation_reverse"", ""extension_append_boundary_side_first""], ""shifted_op_families"": [""permutation"", ""extension""], ""shifted_op_params"": [{}, {""side"": ""first""}], ""num_steps"": 2, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": ""fide nefsi nefsi nefsi nefsi""}",,
compositional_induction_string,partitioning_by_offset_offset_1 -> reindexing_rotate_k_-1,partitioning -> reindexing,partitioning_by_offset_offset_1 -> permutation_reverse,partitioning -> permutation,hard,single_op_shift,True,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,"{""1"": [""chisi""], ""2"": [""chisi""], ""3"": [""chisi""], ""4"": [""chisi""], ""5"": [""chisi""]}","{""1"": [""chisi""], ""2"": [""chisi""], ""3"": [""chisi""], ""4"": [""chisi""], ""5"": [""chisi""]}","[""chisi""]","[""chisi""]","[{""inp"": ""nap chisi chinva"", ""out"": ""chisi""}, {""inp"": ""shagchi chinva nap"", ""out"": ""chinva""}, {""inp"": ""chisi chinva kizcho"", ""out"": ""chinva""}, {""inp"": ""nap kizcho shagchi"", ""out"": ""kizcho""}, {""inp"": ""shagchi chinva kizcho"", ""out"": ""chinva""}]","[{""inp"": ""chinva chisi shagchi"", ""out"": ""chisi""}]","[{""inp"": ""nap chisi kizcho chinva shagchi"", ""out"": ""chinva chisi""}]","[{""inp"": ""chinva chisi kizcho"", ""out"": ""chisi""}, {""inp"": ""kizcho shagchi nap"", ""out"": ""shagchi""}, {""inp"": ""kizcho nap chinva"", ""out"": ""nap""}, {""inp"": ""shagchi chisi kizcho"", ""out"": ""chisi""}, {""inp"": ""kizcho chinva shagchi"", ""out"": ""chinva""}]","[{""inp"": ""shagchi chisi chinva"", ""out"": ""chisi""}]","[{""inp"": ""kizcho shagchi chisi nap chinva"", ""out"": ""nap shagchi""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""iteration"", ""extension"", ""permutation"", ""reindexing""], ""op_names"": [""partitioning_by_offset_offset_1"", ""reindexing_rotate_k_-1""], ""op_families"": [""partitioning"", ""reindexing""], ""op_params"": [{""offset"": 1}, {""k"": -1}], ""shifted_op_names"": [""partitioning_by_offset_offset_1"", ""permutation_reverse""], ""shifted_op_families"": [""partitioning"", ""permutation""], ""shifted_op_params"": [{""offset"": 1}, {}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""chisi""}",,
compositional_induction_string,iteration_duplicate,iteration,iteration_duplicate,iteration,easy,single_op_shift,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,"{""1"": [""tim mag mesho mesho tim mag mesho mesho""], ""2"": [""tim mag mesho mesho tim mag mesho mesho""], ""3"": [""tim mag mesho mesho tim mag mesho mesho""], ""4"": [""tim mag mesho mesho tim mag mesho mesho""], ""5"": [""tim mag mesho mesho tim mag mesho mesho""]}","{""1"": [""mag mesho mesho mag mag mesho mesho mag""], ""2"": [""mag mesho mesho mag mag mesho mesho mag""], ""3"": [""mag mesho mesho mag mag mesho mesho mag""], ""4"": [""mag mesho mesho mag mag mesho mesho mag""], ""5"": [""mag mesho mesho mag mag mesho mesho mag""]}","[""mag mesho mesho tim mag mag mag mesho mesho tim mag mag""]","[""tim mesho mag mesho mesho tim tim mesho mag mesho mesho tim""]","[{""inp"": ""mag mag tim mesho"", ""out"": ""mag mag tim mesho mag mag tim mesho""}, {""inp"": ""mesho mesho tim tim"", ""out"": ""mesho mesho tim tim mesho mesho tim tim""}, {""inp"": ""mesho mag mag mag"", ""out"": ""mesho mag mag mag mesho mag mag mag""}, {""inp"": ""tim mesho tim mesho"", ""out"": ""tim mesho tim mesho tim mesho tim mesho""}, {""inp"": ""mag mag mag mesho mag"", ""out"": ""mag mag mag mesho mag mag mag mag mesho mag""}]","[{""inp"": ""tim mag mesho mesho"", ""out"": ""tim mag mesho mesho tim mag mesho mesho""}]","[{""inp"": ""mag mesho mesho tim mag mag"", ""out"": ""mag mesho mesho tim mag mag mag mesho mesho tim mag mag""}]","[{""inp"": ""mag mesho mag mesho mag"", ""out"": ""mag mesho mag mesho mag mag mesho mag mesho mag""}, {""inp"": ""mesho tim mesho tim"", ""out"": ""mesho tim mesho tim mesho tim mesho tim""}, {""inp"": ""mesho mesho tim mag mag"", ""out"": ""mesho mesho tim mag mag mesho mesho tim mag mag""}, {""inp"": ""mesho mesho tim tim"", ""out"": ""mesho mesho tim tim mesho mesho tim tim""}, {""inp"": ""tim mesho tim mesho"", ""out"": ""tim mesho tim mesho tim mesho tim mesho""}]","[{""inp"": ""mag mesho mesho mag"", ""out"": ""mag mesho mesho mag mag mesho mesho mag""}]","[{""inp"": ""tim mesho mag mesho mesho tim"", ""out"": ""tim mesho mag mesho mesho tim tim mesho mag mesho mesho tim""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""iteration""], ""op_names"": [""iteration_duplicate""], ""op_families"": [""iteration""], ""op_params"": [{}], ""shifted_op_names"": [""iteration_duplicate""], ""shifted_op_families"": [""iteration""], ""shifted_op_params"": [{}], ""num_steps"": 1, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": ""mag mesho mesho mag mag mesho mesho mag""}",,
compositional_induction_string,extension_append_boundary_side_first -> iteration_duplicate,extension -> iteration,extension_append_boundary_side_first -> partitioning_by_offset_offset_1,extension -> partitioning,medium,single_op_shift,True,0.375,0.375,0.375,1.0,0.0,0.375,0.375,1.0,1.0,1.0,1.0,0.5625,"{""1"": [""shid nasno nasno chosi shid shid nasno nasno chosi shid""], ""2"": [""shid nasno nasno chosi shid shid nasno nasno chosi shid""], ""3"": [""shid nasno nasno chosi shid shid shid nasno nasno chosi shid""], ""4"": [""shid nasno nasno chosi shid shid shid nasno nasno chosi shid""], ""5"": [""shid nasno nasno chosi shid shid shid nasno nasno chosi shid""]}","{""1"": [""chosi chosi chosi""], ""2"": [""chosi chosi chosi""], ""3"": [""chosi chosi chosi""], ""4"": [""chosi chosi""], ""5"": [""chosi chosi""]}","[""chosi nasno chosi chosi nasno chosi""]","[""nasno""]","[{""inp"": ""nasno chosi chosi shid"", ""out"": ""nasno chosi chosi shid nasno nasno chosi chosi shid nasno""}, {""inp"": ""nasno nasno nasno"", ""out"": ""nasno nasno nasno nasno nasno nasno nasno nasno""}, {""inp"": ""nasno nasno chosi"", ""out"": ""nasno nasno chosi nasno nasno nasno chosi nasno""}, {""inp"": ""nasno chosi shid"", ""out"": ""nasno chosi shid nasno nasno chosi shid nasno""}, {""inp"": ""nasno nasno shid"", ""out"": ""nasno nasno shid nasno nasno nasno shid nasno""}]","[{""inp"": ""shid nasno nasno chosi"", ""out"": ""shid nasno nasno chosi shid shid nasno nasno chosi shid""}]","[{""inp"": ""chosi nasno"", ""out"": ""chosi nasno chosi chosi nasno chosi""}]","[{""inp"": ""shid chosi shid chosi"", ""out"": ""chosi chosi""}, {""inp"": ""shid chosi shid"", ""out"": ""chosi shid""}, {""inp"": ""nasno chosi chosi chosi"", ""out"": ""chosi chosi""}, {""inp"": ""shid nasno chosi chosi"", ""out"": ""nasno chosi""}, {""inp"": ""shid chosi nasno chosi"", ""out"": ""chosi chosi""}]","[{""inp"": ""chosi chosi chosi"", ""out"": ""chosi chosi""}]","[{""inp"": ""nasno nasno"", ""out"": ""nasno""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""partitioning"", ""iteration""], ""op_names"": [""extension_append_boundary_side_first"", ""iteration_duplicate""], ""op_families"": [""extension"", ""iteration""], ""op_params"": [{""side"": ""first""}, {}], ""shifted_op_names"": [""extension_append_boundary_side_first"", ""partitioning_by_offset_offset_1""], ""shifted_op_families"": [""extension"", ""partitioning""], ""shifted_op_params"": [{""side"": ""first""}, {""offset"": 1}], ""num_steps"": 2, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": ""chosi chosi chosi chosi chosi chosi chosi chosi""}",,
compositional_induction_string,extension_append_boundary_side_first -> reindexing_rotate_k_-1,extension -> reindexing,extension_append_boundary_side_first -> reindexing_rotate_k_-1,extension -> reindexing,hard,single_op_shift,True,0.625,1.0,0.0,0.0,1.0,0.625,1.0,0.0,0.0,0.0,0.0,0.25,"{""1"": [""zela chon gezi""], ""2"": [""zela chon gezi""], ""3"": [""chon zela gezi gezi""], ""4"": [""chon zela gezi gezi""], ""5"": [""chon zela gezi gezi""]}","{""1"": [""gezi zela shov shov""], ""2"": [""gezi zela shov shov""], ""3"": [""gezi zela shov shov""], ""4"": [""gezi zela shov shov""], ""5"": [""gezi zela shov shov""]}","[""gezi shov chon chon chifte chifte""]","[""shov chifte gezi gezi zela zela""]","[{""inp"": ""chon zela chifte"", ""out"": ""zela chifte chon chon""}, {""inp"": ""chon shov chifte"", ""out"": ""shov chifte chon chon""}, {""inp"": ""zela chon gezi"", ""out"": ""chon gezi zela zela""}, {""inp"": ""shov zela chon"", ""out"": ""zela chon shov shov""}, {""inp"": ""zela shov gezi"", ""out"": ""shov gezi zela zela""}]","[{""inp"": ""gezi chon zela"", ""out"": ""chon zela gezi gezi""}]","[{""inp"": ""chon gezi shov chifte"", ""out"": ""gezi shov chifte chon chon""}]","[{""inp"": ""zela shov gezi"", ""out"": ""shov gezi zela zela""}, {""inp"": ""chon shov chifte"", ""out"": ""shov chifte chon chon""}, {""inp"": ""gezi chifte shov"", ""out"": ""chifte shov gezi gezi""}, {""inp"": ""chon chifte zela"", ""out"": ""chifte zela chon chon""}, {""inp"": ""chifte shov gezi"", ""out"": ""shov gezi chifte chifte""}]","[{""inp"": ""shov gezi zela"", ""out"": ""gezi zela shov shov""}]","[{""inp"": ""gezi shov chifte zela"", ""out"": ""shov chifte zela gezi gezi""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""reindexing"", ""permutation"", ""iteration"", ""extension""], ""op_names"": [""extension_append_boundary_side_first"", ""reindexing_rotate_k_-1""], ""op_families"": [""extension"", ""reindexing""], ""op_params"": [{""side"": ""first""}, {""k"": -1}], ""shifted_op_names"": [""extension_append_boundary_side_first"", ""reindexing_rotate_k_-1""], ""shifted_op_families"": [""extension"", ""reindexing""], ""shifted_op_params"": [{""side"": ""first""}, {""k"": -1}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""gezi zela shov shov""}",,
compositional_induction_string,extension_append_boundary_side_first,extension,permutation_reverse,permutation,easy,single_op_shift,True,1.0,0.875,0.0,0.0,1.0,1.0,0.875,1.0,0.0,1.0,0.0,0.4,"{""1"": [""femta mume sile mume mume femta""], ""2"": [""femta mume sile mume mume femta""], ""3"": [""femta mume sile mume mume femta""], ""4"": [""femta mume sile mume mume femta""], ""5"": [""femta mume sile mume mume femta""]}","{""1"": [""femta femta femta femta femta femta""], ""2"": [""femta femta femta femta femta""], ""3"": [""femta femta femta femta femta""], ""4"": [""femta femta femta femta femta""], ""5"": [""femta femta femta femta femta""]}","[""mume mume sile sile femta sile femta mume""]","[""sile sile sile sile femta femta""]","[{""inp"": ""sile mume sile femta mume"", ""out"": ""sile mume sile femta mume sile""}, {""inp"": ""sile sile mume femta mume"", ""out"": ""sile sile mume femta mume sile""}, {""inp"": ""sile femta femta sile"", ""out"": ""sile femta femta sile sile""}, {""inp"": ""sile mume sile femta"", ""out"": ""sile mume sile femta sile""}, {""inp"": ""femta femta sile mume"", ""out"": ""femta femta sile mume femta""}]","[{""inp"": ""femta mume sile mume mume"", ""out"": ""femta mume sile mume mume femta""}]","[{""inp"": ""mume mume sile sile femta sile femta"", ""out"": ""mume mume sile sile femta sile femta mume""}]","[{""inp"": ""femta mume sile femta mume"", ""out"": ""mume femta sile mume femta""}, {""inp"": ""femta mume mume femta"", ""out"": ""femta mume mume femta""}, {""inp"": ""sile femta femta sile"", ""out"": ""sile femta femta sile""}, {""inp"": ""femta sile sile mume mume"", ""out"": ""mume mume sile sile femta""}, {""inp"": ""mume mume sile sile"", ""out"": ""sile sile mume mume""}]","[{""inp"": ""femta femta femta femta femta"", ""out"": ""femta femta femta femta femta""}]","[{""inp"": ""femta femta sile sile sile sile femta"", ""out"": ""femta sile sile sile sile femta femta""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""extension"", ""permutation""], ""op_names"": [""extension_append_boundary_side_first""], ""op_families"": [""extension""], ""op_params"": [{""side"": ""first""}], ""shifted_op_names"": [""permutation_reverse""], ""shifted_op_families"": [""permutation""], ""shifted_op_params"": [{}], ""num_steps"": 1, ""repetition_mode"": ""high"", ""old_rule_post_query_output"": ""femta femta femta femta femta femta""}",,
compositional_induction_string,iteration_duplicate -> partitioning_by_offset_offset_1,iteration -> partitioning,reindexing_rotate_k_-1 -> partitioning_by_offset_offset_1,reindexing -> partitioning,hard,single_op_shift,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""kusko"", ""shupa"", ""mobo""], ""2"": [""kusko"", ""shupa"", ""mobo""], ""3"": [""kusko"", ""shupa"", ""mobo""], ""4"": [""kusko"", ""shupa"", ""mobo""], ""5"": [""kusko"", ""shupa"", ""mobo""]}","{""1"": [""ralo""], ""2"": [""ralo""], ""3"": [""ralo""], ""4"": [""ralo""], ""5"": [""ralo""]}","[""kusko"", ""ralo"", ""shupa"", ""lopgu"", ""mobo""]","[""ralo""]","[{""inp"": ""ralo kusko mobo"", ""out"": ""kusko ralo mobo""}, {""inp"": ""lopgu kusko mobo"", ""out"": ""kusko lopgu mobo""}, {""inp"": ""lopgu kusko ralo"", ""out"": ""kusko lopgu ralo""}, {""inp"": ""lopgu ralo shupa"", ""out"": ""ralo lopgu shupa""}, {""inp"": ""ralo kusko shupa"", ""out"": ""kusko ralo shupa""}]","[{""inp"": ""shupa kusko mobo"", ""out"": ""kusko shupa mobo""}]","[{""inp"": ""shupa ralo lopgu mobo kusko"", ""out"": ""ralo mobo shupa lopgu kusko""}]","[{""inp"": ""lopgu shupa kusko"", ""out"": ""kusko""}, {""inp"": ""lopgu mobo shupa"", ""out"": ""shupa""}, {""inp"": ""shupa kusko ralo"", ""out"": ""ralo""}, {""inp"": ""shupa lopgu ralo"", ""out"": ""ralo""}, {""inp"": ""kusko mobo ralo"", ""out"": ""ralo""}]","[{""inp"": ""mobo ralo lopgu"", ""out"": ""lopgu""}]","[{""inp"": ""lopgu shupa ralo kusko mobo"", ""out"": ""ralo mobo""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""partitioning"", ""reindexing"", ""iteration"", ""permutation"", ""extension""], ""op_names"": [""iteration_duplicate"", ""partitioning_by_offset_offset_1""], ""op_families"": [""iteration"", ""partitioning""], ""op_params"": [{}, {""offset"": 1}], ""shifted_op_names"": [""reindexing_rotate_k_-1"", ""partitioning_by_offset_offset_1""], ""shifted_op_families"": [""reindexing"", ""partitioning""], ""shifted_op_params"": [{""k"": -1}, {""offset"": 1}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""ralo mobo lopgu""}",,
compositional_induction_string,extension_append_boundary_side_first -> iteration_duplicate,extension -> iteration,reindexing_rotate_k_1 -> iteration_duplicate,reindexing -> iteration,medium,single_op_shift,True,0.875,0.625,0.625,1.0,0.0,0.875,0.625,1.0,1.0,1.0,1.0,0.8375000000000001,"{""1"": [""domka kama kama vikne domka domka kama kama vikne""], ""2"": [""domka kama kama vikne domka domka kama kama vikne domka""], ""3"": [""domka kama kama vikne domka domka kama kama vikne domka""], ""4"": [""domka kama kama vikne domka domka kama kama vikne domka""], ""5"": [""domka kama kama vikne domka domka kama kama vikne domka""]}","{""1"": [""domka domka kama domka kama""], ""2"": [""domka kama domka kama domka""], ""3"": [""domka domka kama domka domka kama""], ""4"": [""domka domka kama domka domka kama""], ""5"": [""domka domka kama domka domka kama""]}","[""domka kama domka domka kama domka""]","[""kama kama kama kama""]","[{""inp"": ""domka kama kama"", ""out"": ""domka kama kama domka domka kama kama domka""}, {""inp"": ""domka kama vikne"", ""out"": ""domka kama vikne domka domka kama vikne domka""}, {""inp"": ""domka vikne domka kama"", ""out"": ""domka vikne domka kama domka domka vikne domka kama domka""}, {""inp"": ""domka kama vikne kama"", ""out"": ""domka kama vikne kama domka domka kama vikne kama domka""}, {""inp"": ""kama domka kama"", ""out"": ""kama domka kama kama kama domka kama kama""}]","[{""inp"": ""domka kama kama vikne"", ""out"": ""domka kama kama vikne domka domka kama kama vikne domka""}]","[{""inp"": ""domka kama"", ""out"": ""domka kama domka domka kama domka""}]","[{""inp"": ""domka kama vikne"", ""out"": ""vikne domka kama vikne domka kama""}, {""inp"": ""kama vikne domka"", ""out"": ""domka kama vikne domka kama vikne""}, {""inp"": ""vikne kama kama domka"", ""out"": ""domka vikne kama kama domka vikne kama kama""}, {""inp"": ""kama domka kama vikne"", ""out"": ""vikne kama domka kama vikne kama domka kama""}, {""inp"": ""vikne domka domka domka"", ""out"": ""domka vikne domka domka domka vikne domka domka""}]","[{""inp"": ""domka kama domka"", ""out"": ""domka domka kama domka domka kama""}]","[{""inp"": ""kama kama"", ""out"": ""kama kama kama kama""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""iteration"", ""extension"", ""reindexing""], ""op_names"": [""extension_append_boundary_side_first"", ""iteration_duplicate""], ""op_families"": [""extension"", ""iteration""], ""op_params"": [{""side"": ""first""}, {}], ""shifted_op_names"": [""reindexing_rotate_k_1"", ""iteration_duplicate""], ""shifted_op_families"": [""reindexing"", ""iteration""], ""shifted_op_params"": [{""k"": 1}, {}], ""num_steps"": 2, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": ""domka kama domka domka domka kama domka domka""}",,
compositional_induction_string,partitioning_by_offset_offset_1 -> iteration_duplicate,partitioning -> iteration,iteration_duplicate -> iteration_duplicate,iteration -> iteration,hard,single_op_shift,True,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6,"{""1"": [""kuvo"", ""kuvo""], ""2"": [""kuvo"", ""kuvo""], ""3"": [""losa"", ""losa""], ""4"": [""losa"", ""losa""], ""5"": [""losa"", ""losa""]}","{""1"": [""sama kuvo div sama kuvo div sama kuvo div sama kuvo div""], ""2"": [""sama kuvo div sama kuvo div sama kuvo div sama kuvo div""], ""3"": [""sama kuvo div sama kuvo div sama kuvo div sama kuvo div""], ""4"": [""sama kuvo div sama kuvo div sama kuvo div sama kuvo div""], ""5"": [""sama kuvo div sama kuvo div sama kuvo div sama kuvo div""]}","[""sama"", ""sama""]","[""losa kutvi sama kuvo losa kutvi sama kuvo losa kutvi sama kuvo losa kutvi sama kuvo""]","[{""inp"": ""losa div kutvi"", ""out"": ""div div""}, {""inp"": ""sama kuvo div"", ""out"": ""kuvo kuvo""}, {""inp"": ""kutvi losa sama"", ""out"": ""losa losa""}, {""inp"": ""div sama kutvi"", ""out"": ""sama sama""}, {""inp"": ""kutvi sama div"", ""out"": ""sama sama""}]","[{""inp"": ""kutvi losa kuvo"", ""out"": ""losa losa""}]","[{""inp"": ""div kutvi sama kuvo"", ""out"": ""kutvi kuvo kutvi kuvo""}]","[{""inp"": ""kutvi div kuvo"", ""out"": ""kutvi div kuvo kutvi div kuvo kutvi div kuvo kutvi div kuvo""}, {""inp"": ""losa kutvi sama"", ""out"": ""losa kutvi sama losa kutvi sama losa kutvi sama losa kutvi sama""}, {""inp"": ""kutvi div sama"", ""out"": ""kutvi div sama kutvi div sama kutvi div sama kutvi div sama""}, {""inp"": ""kuvo sama losa"", ""out"": ""kuvo sama losa kuvo sama losa kuvo sama losa kuvo sama losa""}, {""inp"": ""kutvi kuvo sama"", ""out"": ""kutvi kuvo sama kutvi kuvo sama kutvi kuvo sama kutvi kuvo sama""}]","[{""inp"": ""sama kuvo div"", ""out"": ""sama kuvo div sama kuvo div sama kuvo div sama kuvo div""}]","[{""inp"": ""losa kutvi sama kuvo"", ""out"": ""losa kutvi sama kuvo losa kutvi sama kuvo losa kutvi sama kuvo losa kutvi sama kuvo""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 5, ""candidate_template_names"": [""reindexing"", ""partitioning"", ""extension"", ""permutation"", ""iteration""], ""op_names"": [""partitioning_by_offset_offset_1"", ""iteration_duplicate""], ""op_families"": [""partitioning"", ""iteration""], ""op_params"": [{""offset"": 1}, {}], ""shifted_op_names"": [""iteration_duplicate"", ""iteration_duplicate""], ""shifted_op_families"": [""iteration"", ""iteration""], ""shifted_op_params"": [{}, {}], ""num_steps"": 2, ""repetition_mode"": ""low"", ""old_rule_post_query_output"": ""kuvo kuvo""}",,
compositional_induction_string,partitioning_by_offset_offset_0 -> permutation_reverse,partitioning -> permutation,partitioning_by_offset_offset_0 -> extension_append_boundary_side_last,partitioning -> extension,medium,single_op_shift,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""1"": [""mogsho nukpe""], ""2"": [""mogsho nukpe""], ""3"": [""mogsho mogsho""], ""4"": [""mogsho mogsho""], ""5"": [""mogsho mogsho""]}","{""1"": [""vota nukpe nukpe""], ""2"": [""vota vota vota""], ""3"": [""vota vota vota""], ""4"": [""vota vota vota""], ""5"": [""vota vota vota""]}","[""nukpe mogsho""]","[""mogsho mogsho mogsho mogsho""]","[{""inp"": ""vota vota nukpe nukpe"", ""out"": ""nukpe vota""}, {""inp"": ""nukpe vota vota vota"", ""out"": ""vota nukpe""}, {""inp"": ""mogsho vota mogsho vota"", ""out"": ""mogsho mogsho""}, {""inp"": ""mogsho vota vota vota"", ""out"": ""vota mogsho""}, {""inp"": ""vota mogsho vota"", ""out"": ""vota vota""}]","[{""inp"": ""nukpe vota vota mogsho"", ""out"": ""vota nukpe""}]","[{""inp"": ""mogsho mogsho mogsho vota nukpe"", ""out"": ""nukpe mogsho mogsho""}]","[{""inp"": ""vota vota mogsho vota"", ""out"": ""vota mogsho mogsho""}, {""inp"": ""nukpe mogsho nukpe nukpe"", ""out"": ""nukpe nukpe nukpe""}, {""inp"": ""nukpe vota vota nukpe"", ""out"": ""nukpe vota vota""}, {""inp"": ""mogsho vota vota nukpe"", ""out"": ""mogsho vota vota""}, {""inp"": ""vota mogsho vota"", ""out"": ""vota vota vota""}]","[{""inp"": ""mogsho nukpe vota vota"", ""out"": ""mogsho vota vota""}]","[{""inp"": ""vota mogsho mogsho mogsho mogsho"", ""out"": ""vota mogsho mogsho mogsho""}]","{""evidence_budgets"": [1, 2, 3, 4, 5], ""num_active_symbols"": 3, ""candidate_template_names"": [""partitioning"", ""extension"", ""permutation""], ""op_names"": [""partitioning_by_offset_offset_0"", ""permutation_reverse""], ""op_families"": [""partitioning"", ""permutation""], ""op_params"": [{""offset"": 0}, {}], ""shifted_op_names"": [""partitioning_by_offset_offset_0"", ""extension_append_boundary_side_last""], ""shifted_op_families"": [""partitioning"", ""extension""], ""shifted_op_params"": [{""offset"": 0}, {""side"": ""last""}], ""num_steps"": 2, ""repetition_mode"": ""medium"", ""old_rule_post_query_output"": ""vota mogsho""}",,
