context_family,shifted_context_family,difficulty,shift_type,error_type,error_message
repetition_presence,repetition_presence,medium,full_rule_remap_same_context,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""0"", ""0""], [""2"", ""2""], [""0"", ""0""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['0', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['2', '2'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['0', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
majority_existence,repetition_presence,hard,full_context_and_rule_remap,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[4, 2, 4]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [4, 2, 4], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
local_pattern_consistency,local_pattern_consistency,medium,full_rule_remap_same_context,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[3, 1], [3, 1]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [3, 1], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [3, 1], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
majority_existence,boundary_relation,hard,full_context_and_rule_remap,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[4, 4, 4], [2, 2, 2], [4, 4, 4], [4, 4, 4], [2, 2, 2]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [4, 4, 4], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [2, 2, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [4, 4, 4], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': [4, 4, 4], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 4), 'msg': 'Input should be a valid string', 'input': [2, 2, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
boundary_relation,repetition_presence,hard,full_context_and_rule_remap,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[4], [1], [4]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [4], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [1], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [4], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
repetition_presence,repetition_presence,medium,full_rule_remap_same_context,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0, 0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [0, 0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [0, 0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': [0, 0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
majority_existence,repetition_presence,hard,full_context_and_rule_remap,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""4""], [""3""], [""3""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['4'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['3'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['3'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
boundary_relation,majority_existence,hard,full_context_and_rule_remap,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[3, 3], [4, 4], [3, 3]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [3, 3], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [4, 4], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [3, 3], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
size_parity,majority_existence,hard,full_context_and_rule_remap,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[4, 1, 4]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [4, 1, 4], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
boundary_relation,boundary_relation,easy,single_rule_remap_same_context,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0, 2], [2, 0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [2, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
